resource_name,assignment_ids
Resource 0,66;191;105;270;100;308;150;343;43;108;244;165;246;18;136;370;330;70;38;299;27;23
Resource 1,153;210;132;309;86;322;73;271;228;251;388;396;294;338;225;199;158;350;95;240;68;195
Resource 2,26;331;109;196;335;402;398;110;163;381;36;267;174;351;348;332;203;328;106;261;19;12
Resource 3,126;58;156;387;221;128;115;169;303;397;227;313;207;403;24;178;259;83;183;160;256;298
Resource 4,300;131;123;286;93;220;31;179;312;211;352;147;81;384;247;223;297;373;41;293;17;325
Resource 5,34;175;390;232;103;235;401;333;98;52;21;233;180;369;28;340;200;166;214;4;323;344
Resource 6,76;258;6;399;218;198;197;129;391;277;90;124;1;14;272;362;379;113;273;356;385;364
Resource 7,78;245;92;55;15;310;383;341;39;213;67;249;142;149;9;72;32;164;29;53;3;172
Resource 8,319;209;269;65;301;205;190;405;135;137;40;7;85;255;231;176;49;295;212;189;171;111
Resource 9,342;376;77;62;155;50;143;88;2;347;407;346;302;157;279;161;186;276;13;361;327;74
Resource 10,316;394;282;242;44;188;202;382;140;91;162;288;285;141;375;264;107;102;97;104;152
Resource 11,377;406;374;274;148;54;321;79;372;237;63;265;275;262;278;182;329;216;243;360;71
Resource 12,116;75;61;292;311;8;326;339;42;296;234;11;146;358;47;120;393;315;318;222;334
Resource 13,263;392;366;193;337;320;283;349;307;260;408;363;208;46;252;357;248;345;59;121;10
Resource 14,154;305;314;226;253;145;378;204;139;289;57;215;306;400;353;99;33;35;217;51;184
Resource 15,284;118;130;87;185;194;250;230;56;380;281;355;206;168;354;69;144;37;304;389;48
Resource 16,386;20;117;266;84;133;80;192;336;257;287;404;119;181;127;219;5;159;317;187;151
Resource 17,64;45;82;138;359;114;30;177;254;291;239;16;94;112;170;367;395;96;101;60;268
Resource 18,371;0;89;22;280;167;201;229;365;238;173;224;368;236;122;324;241;25;134;125;290
