predecessor_id,successor_id,type
70,96,1
61,62,1
61,76,1
0,62,1
0,84,1
72,73,1
2,47,3
19,78,1
19,93,1
1,2,0
3,94,1
4,83,0
6,51,3
6,55,1
6,78,1
6,93,1
5,10,1
5,11,1
5,6,1
92,101,1
92,95,3
39,40,1
99,100,1
7,82,1
8,93,1
37,50,1
37,77,1
42,43,1
42,46,1
42,84,1
10,89,1
10,75,1
30,41,3
9,14,1
9,25,0
9,10,0
40,71,3
83,86,1
86,87,1
78,80,1
78,79,3
12,71,1
13,54,1
13,57,1
14,79,1
15,60,1
15,66,3
20,62,1
20,74,1
16,62,1
16,50,1
16,59,1
17,60,1
17,52,1
17,57,1
17,59,3
18,61,1
18,44,1
18,19,1
18,20,3
18,48,1
21,40,1
64,65,0
65,84,1
65,77,1
65,67,0
65,66,1
88,89,1
23,63,1
23,73,3
77,101,1
77,78,1
22,23,1
98,99,1
24,36,1
25,44,3
25,89,1
25,36,3
29,69,1
29,30,1
29,31,1
26,27,1
43,53,1
27,76,1
27,32,1
27,39,3
33,34,1
33,58,1
66,83,1
28,68,1
28,39,1
28,29,0
76,77,1
50,51,1
50,99,1
32,33,1
35,69,1
35,36,0
35,37,1
38,39,3
41,42,1
41,48,1
44,76,1
44,71,1
44,97,1
51,81,0
45,51,1
45,46,1
45,73,1
53,94,1
53,54,1
91,96,3
91,92,0
91,94,1
91,93,1
46,76,1
46,66,1
85,86,3
85,88,1
96,97,3
96,102,1
96,98,1
49,58,1
49,50,1
49,78,3
47,83,1
48,65,1
48,49,1
48,55,3
82,83,1
52,53,1
81,82,1
56,62,0
56,82,1
101,102,1
57,85,1
57,58,1
59,102,1
73,75,1
73,74,3
89,90,1
89,91,1
60,75,3
60,61,3
60,99,1
63,64,3
63,75,3
69,70,0
69,71,3
69,72,1
75,76,1
75,81,1
84,85,3
