id,hours,start,duration
0,50,0,5
1,217,0,21
2,92,0,9
3,50,0,5
4,340,0,34
5,217,0,21
6,189,0,18
7,53,0,5
8,50,0,5
9,50,0,5
10,51,0,5
11,109,0,10
12,159,0,15
13,1233,0,123
14,80,5,8
15,78,13,7
16,305,0,30
17,189,0,18
18,54,18,5
19,166,18,16
20,322,0,32
21,66,0,6
22,997,0,99
23,165,0,16
24,500,5,50
25,152,0,15
26,120,0,12
27,50,12,5
28,53,12,5
29,289,0,28
30,424,28,42
31,58,0,5
32,308,5,30
33,68,29,6
34,57,35,5
35,978,35,97
36,121,0,12
37,197,99,19
38,116,0,11
39,97,35,9
40,144,0,14
41,64,14,6
42,58,0,5
43,50,5,5
44,176,0,17
45,105,0,10
46,116,0,11
47,51,11,5
48,58,16,5
49,62,0,6
50,50,0,5
51,111,5,11
52,237,0,23
53,210,0,21
54,998,30,99
55,203,0,20
56,136,11,13
57,83,0,8
58,152,0,15
59,62,23,6
60,60,0,6
61,78,6,7
62,139,6,13
63,66,0,6
64,494,0,49
65,102,0,10
66,391,0,39
67,110,2,11
68,65,13,6
69,535,0,53
70,132,0,13
71,50,0,5
72,237,0,23
73,71,23,7
74,438,30,43
75,228,30,22
76,101,13,10
77,190,10,19
78,393,21,39
79,52,60,5
80,341,32,34
81,61,66,6
82,50,0,5
83,488,5,48
84,51,0,5
85,50,0,5
86,137,0,13
87,201,0,20
88,72,0,7
89,66,0,6
90,107,0,10
91,341,60,34
92,101,0,10
93,210,0,21
94,230,0,23
95,50,23,5
96,282,6,28
97,219,0,21
98,52,0,5
99,101,66,10
100,72,0,7
101,353,7,35
102,86,132,8
103,58,140,5
104,51,0,5
105,371,92,37
106,55,0,5
107,50,16,5
108,63,0,6
109,54,6,5
110,788,0,78
111,85,0,8
112,63,8,6
113,295,14,29
114,158,0,15
115,441,29,44
116,105,73,10
117,53,73,5
118,179,78,17
119,1541,78,154
120,50,0,5
121,58,0,5
122,75,14,7
123,63,32,6
124,97,21,9
125,275,30,27
126,54,21,5
127,86,21,8
128,67,93,6
129,123,99,12
130,278,99,27
131,512,126,51
132,90,168,9
133,54,177,5
134,126,182,12
135,172,194,17
136,57,194,5
137,58,177,5
138,176,182,17
139,146,199,14
140,51,213,5
141,117,194,11
142,267,0,26
143,1607,76,160
144,284,76,28
145,285,21,28
146,89,49,8
147,56,65,5
148,79,129,7
149,92,21,9
150,57,13,5
151,55,199,5
152,705,204,70
153,262,199,26
154,79,123,7
155,75,130,7
156,93,128,9
157,82,129,8
158,888,213,88
159,60,213,6
160,173,130,17
161,245,199,24
162,53,223,5
163,112,228,11
164,1040,228,104
165,130,239,13
166,50,301,5
167,724,306,72
168,797,301,79
169,141,238,14
170,456,332,45
171,51,377,5
172,559,332,55
173,50,387,5
174,54,387,5
175,98,392,9
176,238,387,23
177,185,410,18
