resource_name,assignment_ids
Resource 0,144;86;71;129;66;99;153;41;74;25;130
Resource 1,33;6;2;4;92;65;83;95;60;22;82
Resource 2,17;87;106;116;136;91;45;119;26;113;84
Resource 3,124;35;121;137;15;20;102;72;98;42;0
Resource 4,131;1;147;148;90;135;49;75;100;27
Resource 5,97;78;7;105;77;34;61;73;96;28
Resource 6,141;52;138;18;19;36;37;9;140;85
Resource 7,125;67;5;24;150;12;51;21;151;64
Resource 8,53;54;115;143;94;79;88;89;110;112
Resource 9,44;16;10;104;126;114;80;128;109;56
Resource 10,31;3;103;39;70;29;152;32;46;117
Resource 11,11;146;68;55;133;43;93;57;134;127
Resource 12,108;23;132;123;149;59;63;14;118;142
Resource 13,38;107;101;47;8;40;69;76;120;58
Resource 14,139;122;62;81;50;111;48;145;30;13
