resource_name,assignment_ids
Resource 0,65;85;71;83;59;99;118;76;77;102
Resource 1,4;24;84;14;5;13;74;56;39;79
Resource 2,100;47;63;95;108;82;42;22;49
Resource 3,15;9;35;104;110;96;113;34;93
Resource 4,112;90;46;111;48;11;88;16;91
Resource 5,114;32;53;43;101;23;89;31;2
Resource 6,0;75;19;109;106;17;98;69;41
Resource 7,68;86;66;55;50;70;7;117;38
Resource 8,62;73;52;20;29;37;107;21;27
Resource 9,54;116;115;57;51;80;18;6;45
Resource 10,61;8;33;103;1;97;60;10;78
Resource 11,81;36;58;30;67;94;3;87;72
Resource 12,28;12;25;40;64;26;44;92;105
