resource_name,assignment_ids
Resource 0,269;6;258;247;111;9;79;159;257;82;179;185;39;293;232;100;168;214;314;203;52;305;255;242;174;300;251;30;104;89;59
Resource 1,164;122;86;236;213;180;183;49;192;0;63;186;22;297;307;149;156;137;145;256;117;154;315;46;55;267;316;32;171;200
Resource 2,295;287;132;17;148;260;191;304;121;124;302;67;245;87;252;150;244;309;103;96;327;120;118;113;60;128;290;262;61;223
Resource 3,281;162;18;62;284;215;170;76;234;319;317;65;35;259;182;199;324;330;296;14;282;47;301;289;160;208;110;288;97;261
Resource 4,133;280;134;254;271;229;88;311;81;112;90;54;146;66;141;5;328;178;205;321;212;274;57;31;273;23;58;209;211;78
Resource 5,201;283;99;194;240;152;92;239;189;29;157;226;68;101;264;243;235;125;238;207;320;37;74;329;129;219;50;233;44;202
Resource 6,196;237;73;227;1;169;322;173;158;276;143;323;71;177;131;231;193;85;41;119;151;310;109;253;13;3;84;230;325;161
Resource 7,51;176;153;172;53;277;98;248;308;138;25;181;77;210;26;142;246;224;188;187;105;250;130;24;222;48;43;163;166;38
Resource 8,94;10;144;265;241;294;19;195;268;184;27;11;91;326;70;312;102;72;28;45;116;197;216;12;303;33;206;80;40;165
Resource 9,106;83;221;36;263;225;220;108;147;127;286;217;4;167;126;155;299;175;115;8;190;69;95;64;306;15;7;228;204;34
Resource 10,21;135;114;313;278;318;270;2;285;266;139;198;75;291;123;56;136;16;279;107;218;272;20;292;298;42;140;93;249;275
