resource_name,assignment_ids
Resource 0,67;135;139;191;61;169;102;39;192;41;48
Resource 1,150;112;114;105;78;19;180;106;163;73;21
Resource 2,103;132;137;37;195;144;8;188;145;151;197
Resource 3,134;25;34;183;173;104;184;166;119;82;2
Resource 4,186;194;165;44;66;187;85;50;154;171;30
Resource 5,26;133;136;62;122;33;125;87;141;31;189
Resource 6,69;138;88;118;130;53;182;179;167;47;6
Resource 7,24;1;143;100;17;196;55;35;155;156;198
Resource 8,29;98;157;147;16;101;45;185;90;116;178
Resource 9,99;72;79;65;63;175;126;200;174;193;71
Resource 10,131;92;36;7;54;27;57;70;68;74;107
Resource 11,164;15;113;146;161;94;14;168;97;84;12
Resource 12,28;43;76;108;52;51;38;121;9;46
Resource 13,142;129;201;181;58;93;18;109;152;140
Resource 14,160;49;176;120;40;159;153;60;96;59
Resource 15,177;20;123;110;172;64;83;124;128;81
Resource 16,56;11;117;23;0;80;75;77;162;3
Resource 17,149;111;115;5;22;158;32;86;42;13
Resource 18,199;127;170;190;10;95;91;148;4;89
