resource_name,assignment_ids
Resource 0,25;204;41;299;164;364;79;340;93;358;104;255;66;303;330;108;92;195;62;21;336;65;394;190;144;201;211
Resource 1,305;311;257;319;136;146;291;224;297;152;354;33;280;103;313;207;229;269;38;167;138;55;94;337;285;317;183
Resource 2,180;348;141;63;134;213;147;73;77;199;119;212;72;392;124;292;240;339;173;377;279;6;322;148;85;262;53
Resource 3,363;32;61;309;225;160;355;221;97;237;105;178;226;218;243;217;10;301;387;288;393;219;376;294;2;44;236
Resource 4,166;390;60;89;7;389;338;281;248;116;342;287;3;274;126;172;165;163;184;261;289;4;8;232;369;12;222
Resource 5,106;145;263;149;382;135;333;194;385;367;272;95;51;365;341;362;370;107;42;118;318;150;361;308;47;170;371
Resource 6,112;231;268;324;46;304;375;101;39;275;153;239;380;250;133;332;64;186;315;90;96;31;87;350;122;273;69
Resource 7,256;76;320;70;200;121;205;216;384;368;293;244;193;245;254;0;312;251;24;157;238;277;296;345;9;230;352
Resource 8,16;234;343;30;168;88;366;391;372;278;83;56;196;197;15;91;192;37;227;185;67;329;117;373;357;198
Resource 9,58;5;110;174;179;127;143;75;176;290;155;189;45;18;351;17;314;34;158;374;326;43;109;283;258;125
Resource 10,123;13;40;74;235;397;310;26;270;142;113;114;379;220;381;22;102;249;191;84;233;188;349;356;321;111
Resource 11,59;129;206;169;48;383;182;246;335;175;139;151;241;328;359;347;252;19;228;49;156;52;120;247;68;54
Resource 12,260;162;242;130;14;27;35;203;132;161;78;334;187;265;159;171;259;302;57;325;223;214;298;137;306;28
Resource 13,264;395;36;284;271;1;346;181;82;353;20;396;23;99;50;300;253;202;282;128;331;388;98;316;210;154
Resource 14,115;295;29;323;307;386;100;215;266;131;360;140;71;378;86;286;209;208;81;80;267;177;11;276;327;344
