resource_name,assignment_ids
Resource 0,5;76;48;87;36;215;277;274;140;211;113;237;290;200;221;23;186;190;272;102;224
Resource 1,287;132;209;154;284;134;139;244;43;283;61;17;155;124;145;78;150;74;262;282;137
Resource 2,103;259;252;6;250;167;64;0;65;289;85;12;131;1;4;191;243;238;105;81;109
Resource 3,130;38;86;127;116;2;220;182;89;203;169;149;44;151;229;218;292;280;152;111;208
Resource 4,123;47;254;49;170;201;27;110;270;88;288;189;51;171;148;32;232;222;104;18;199
Resource 5,163;99;227;239;106;256;258;45;9;91;178;118;174;219;216;241;42;80;204;160;286
Resource 6,19;273;291;3;212;55;125;28;33;214;194;37;24;84;164;67;34;255;16;126;122
Resource 7,202;135;52;100;26;159;206;181;77;146;112;192;247;71;271;210;62;173;63;230;217
Resource 8,58;196;98;121;265;10;59;269;119;11;129;40;68;66;75;157;90;107;82;236;228
Resource 9,184;223;141;13;39;161;136;142;175;93;46;278;156;153;260;15;281;233;183;94;268
Resource 10,176;54;197;138;185;166;20;195;29;92;117;267;25;108;56;165;83;8;114;225;60
Resource 11,234;261;14;21;73;41;235;97;179;248;187;263;275;279;35;231;266;240;177;285;162
Resource 12,50;168;257;115;144;120;72;7;193;22;57;53;101;30;245;188;147;143;133;70;207
Resource 13,172;249;95;293;31;128;96;276;198;253;158;205;69;242;180;246;264;226;251;79;213
