resource_name,assignment_ids
Resource 0,187;238;80;163;45;211;145;48;178;146;111;191;144;206;185;162
Resource 1,192;0;9;37;208;62;25;134;143;123;198;96;4;247;225;113
Resource 2,67;237;21;181;50;18;103;38;90;64;242;177;170;183;94;147
Resource 3,125;8;195;215;1;158;169;40;93;11;23;32;89;173;209;155
Resource 4,121;222;60;108;47;152;118;159;20;202;231;69;156;101;44;78
Resource 5,244;149;227;196;171;42;165;49;188;126;12;114;226;59;98;15
Resource 6,151;65;241;246;224;86;219;100;41;176;33;119;129;68;26;58
Resource 7,87;22;71;168;117;141;182;133;83;72;135;31;14;138;197;130
Resource 8,153;210;139;81;82;36;180;213;16;220;99;204;76;248;61;250
Resource 9,5;27;95;17;91;104;122;110;207;52;148;243;140;164;154;102
Resource 10,253;201;252;221;120;142;249;136;63;46;109;53;85;2;105;79
Resource 11,223;19;193;251;24;239;161;240;229;236;88;107;54;216;218;106
Resource 12,57;131;172;112;232;43;34;70;150;230;199;234;212;217;29;186
Resource 13,128;3;75;235;13;7;51;245;73;205;116;137;228;127;200;55
Resource 14,77;184;189;10;35;203;97;214;190;6;132;179;166;56;157
Resource 15,194;92;233;167;160;174;28;39;66;124;84;30;115;175;74
