resource_name,assignment_ids
Resource 0,139;35;204;110;214;49;71;101;294;192;92;132;76;226;57;275;149;179;128;262;8;267;253;220;193;28;261;70
Resource 1,290;152;43;87;292;321;165;307;130;145;25;277;183;115;314;271;211;313;62;108;163;199;63;173;15;256;40;205
Resource 2,56;133;127;153;162;241;151;135;31;59;88;46;210;17;228;119;216;89;68;222;184;0;284;48;198;159;93
Resource 3,84;125;36;257;273;21;79;304;147;282;309;283;299;248;230;164;142;218;50;99;236;156;141;272;69;170;33
Resource 4,114;280;41;186;305;137;7;32;237;315;11;274;44;301;10;316;296;217;169;185;39;177;123;5;320;86;260
Resource 5,138;240;116;242;201;194;75;231;61;190;295;281;212;233;12;213;117;263;265;107;85;106;289;249;196;74;266
Resource 6,175;180;244;189;158;176;42;297;270;104;291;182;51;268;144;95;136;312;97;6;306;65;102;121;254;246;4
Resource 7,167;24;251;13;150;66;308;168;207;23;258;140;19;247;224;81;264;30;58;324;181;223;2;278;27;221;243
Resource 8,191;252;78;317;259;229;310;53;9;52;18;208;16;323;1;72;279;255;67;122;232;98;148;319;83;171;109
Resource 9,187;82;131;227;172;200;80;166;202;45;96;47;112;22;134;288;215;287;34;209;77;302;113;118;20;219;111
Resource 10,154;311;73;195;60;105;54;64;269;322;318;90;239;37;325;55;100;250;94;124;276;238;157;126;197;286;103
Resource 11,14;161;38;293;129;26;188;203;3;160;206;234;300;120;285;155;245;225;174;298;146;143;178;29;235;303;91
