resource_name,assignment_ids
Resource 0,135;86;40;87;127;70;134;53;113;104
Resource 1,93;0;92;57;143;122;24;21;146;118
Resource 2,100;12;96;43;58;26;22;102;81;15
Resource 3,128;27;117;142;131;105;29;68;3
Resource 4,38;119;136;65;67;83;61;103;78
Resource 5,84;130;17;111;77;5;28;89;4
Resource 6,32;76;90;141;25;54;41;46;139
Resource 7,55;116;91;48;47;51;85;11;59
Resource 8,10;71;99;72;144;74;64;33;1
Resource 9,30;98;9;114;101;69;133;106;52
Resource 10,88;112;109;138;129;14;137;60;45
Resource 11,34;2;13;75;36;66;132;23;123
Resource 12,97;80;16;39;18;73;31;35;42
Resource 13,49;110;79;107;95;108;145;56;19
Resource 14,62;126;121;8;44;120;63;140;82
Resource 15,7;124;115;6;125;94;20;50;37
