resource_name,assignment_ids
Resource 0,135;388;142;255;116;375;261;68;112;134;324;249;3;49;161;380;253;106;291;286;213;132;151;121;360;168;89;317;371;75
Resource 1,129;301;211;86;376;384;113;61;303;381;182;1;280;218;240;2;292;155;247;119;23;35;25;377;102;165;101;236;367;63
Resource 2,13;250;269;309;185;306;190;22;308;234;15;4;239;316;350;363;71;59;64;289;332;321;72;30;76;122;214;294;98;336
Resource 3,99;149;194;275;340;243;187;305;19;362;198;167;43;87;266;373;224;42;12;95;21;97;110;354;41;389;203;193;325;172
Resource 4,120;70;205;319;369;144;177;18;191;293;254;5;335;263;296;181;328;208;90;352;133;20;351;84;57;379;299;295;141;259
Resource 5,105;264;231;297;312;56;73;385;186;47;96;330;274;220;383;230;140;227;184;162;7;215;173;32;163;310;85;29;28;359
Resource 6,114;145;245;46;276;10;200;17;206;223;139;290;39;118;148;125;36;281;334;81;170;273;326;344;246;108;219;67;164;287
Resource 7,131;169;279;346;44;82;14;361;147;130;156;62;34;88;320;257;271;222;304;355;284;347;313;126;226;314;48;372;171;267
Resource 8,235;300;174;366;179;11;302;242;31;196;52;0;137;124;117;204;45;270;83;315;364;27;16;115;180;248;356;278;154;146
Resource 9,327;138;285;323;80;272;386;368;197;378;91;233;201;178;252;50;343;6;217;345;365;188;79;339;337;288;374;152;24;331
Resource 10,387;238;9;166;37;307;51;158;225;53;183;55;33;216;282;136;123;241;150;192;58;157;298;342;382;195;358;77;318;260
Resource 11,237;104;38;159;357;78;153;65;93;54;221;109;348;353;338;66;232;26;333;8;94;128;212;370;283;74;111;103;349;92
Resource 12,207;202;209;265;256;322;60;229;329;228;199;244;40;107;210;341;262;69;268;258;143;251;189;127;100;175;176;277;160;311
