resource_name,assignment_ids
Resource 0,353;334;365;377;257;348;280;32;380;417;369;191;299;285;157;300;270;164;99;416;356;375;43
Resource 1,367;409;86;143;261;354;36;97;78;338;177;87;232;113;199;329;190;224;27;393;374;74;385
Resource 2,223;215;55;264;158;254;114;314;311;210;333;234;161;242;262;154;288;415;357;83;159;339;386
Resource 3,221;64;7;361;237;331;245;12;302;42;326;273;92;246;14;11;194;39;220;394;278;248
Resource 4,384;95;123;0;29;179;8;206;276;192;170;124;404;51;277;108;94;211;129;389;144;358
Resource 5,120;292;323;368;13;408;52;410;152;286;228;320;217;59;383;370;196;249;81;134;203;413
Resource 6,403;24;28;328;22;76;160;6;184;298;343;84;305;119;301;372;308;267;68;359;205;204
Resource 7,168;310;229;109;111;167;117;283;250;309;142;188;241;165;155;79;281;100;18;340;401;315
Resource 8,16;243;180;266;150;275;208;23;146;106;198;271;346;140;251;213;67;45;116;131;187;399
Resource 9,303;419;63;255;306;138;104;360;236;50;297;345;148;98;127;80;103;289;304;60;420;47
Resource 10,207;153;163;135;391;15;209;263;115;272;137;287;396;332;260;48;352;322;195;388;222;54
Resource 11,85;373;414;362;218;34;355;364;258;274;351;193;240;75;347;40;126;107;5;312;291;371
Resource 12,226;10;136;256;395;141;118;53;259;38;350;342;186;398;162;77;341;2;173;185;21;57
Resource 13,294;26;293;101;66;69;125;49;244;201;166;231;381;247;212;284;93;133;397;182;227;344
Resource 14,171;102;62;58;174;230;412;376;19;33;91;296;61;349;41;70;9;336;318;110;295;175
Resource 15,30;46;269;252;130;176;145;235;3;96;400;366;197;324;390;151;282;128;181;330;65;238
Resource 16,411;73;265;139;112;71;239;317;382;225;178;319;122;379;20;321;17;313;105;307;392;31
Resource 17,72;407;337;200;325;56;121;290;219;169;132;89;147;35;88;156;216;202;327;25;149;418
Resource 18,82;387;172;253;316;189;1;4;214;363;405;279;335;37;233;183;402;378;44;268;406;90
