resource_name,assignment_ids
Resource 0,133;89;336;266;215;211;356;167;210;47;415;120;404;166;433;86;250;295;260;116;271;119;81;324;129;345;422;430;301;303;189;100
Resource 1,224;70;181;63;383;286;154;304;3;153;220;168;124;228;323;413;8;204;146;49;280;431;147;114;409;140;403;284;201;187;108
Resource 2,245;341;326;128;212;251;350;338;183;321;235;424;267;64;102;331;121;17;374;32;367;225;416;117;125;214;320;6;296;77;71
Resource 3,309;51;354;56;115;376;208;234;65;262;355;428;292;244;40;156;76;216;434;270;66;278;381;297;59;98;190;92;276;162;69
Resource 4,243;411;351;237;143;232;256;48;31;67;233;182;272;179;174;334;42;12;105;33;340;132;113;152;0;274;277;218;20;426;90
Resource 5,78;255;407;58;402;195;88;82;202;139;427;347;423;240;43;50;398;425;388;291;275;85;365;112;401;385;126;196;335;141;15
Resource 6,5;305;118;371;328;258;79;2;207;418;130;339;257;36;176;377;357;421;362;263;191;161;148;306;175;380;238;35;14;180;55
Resource 7,145;343;420;337;29;4;239;285;28;37;379;393;188;155;57;241;319;325;198;366;111;300;227;283;27;348;106;136;247;369;387
Resource 8,18;74;342;248;288;110;290;429;164;353;344;135;144;273;289;333;52;408;311;24;134;308;22;349;363;200;395;149;87;315;259
Resource 9,23;131;158;91;223;391;34;93;165;400;193;45;104;221;178;213;41;103;13;397;192;368;157;389;60;364;419;185;378;229;370
Resource 10,38;205;261;279;127;163;268;97;412;314;392;96;254;169;417;386;264;293;138;373;25;358;317;375;230;332;1;236;384;327;16
Resource 11,122;199;246;150;68;99;222;72;217;299;173;329;95;11;302;252;172;203;206;361;83;226;39;307;94;359;80;177;231;53;75
Resource 12,197;171;84;123;294;372;194;399;46;62;410;396;249;352;9;360;394;186;253;322;54;265;61;287;109;30;151;313;142;159;219
Resource 13,170;242;346;10;209;269;26;73;312;184;137;414;281;330;316;390;298;7;405;107;101;432;310;21;406;19;282;160;318;44;382
