resource_name,assignment_ids
Resource 0,328;229;86;209;138;294;172;193;128;278;265;0;34;177;21;292;329;296;35;199;301
Resource 1,264;261;223;236;198;60;2;316;110;151;336;302;74;58;106;289;293;318;167;251;157
Resource 2,347;231;53;62;359;52;141;220;303;82;117;300;171;44;175;48;247;346;323;195;334
Resource 3,353;107;69;75;279;310;153;299;319;216;133;273;308;77;313;228;324;4;338;37
Resource 4,237;179;337;154;257;291;65;47;122;14;139;15;178;362;270;242;57;81;322;188
Resource 5,31;250;150;204;118;202;28;238;234;84;113;93;271;208;215;166;295;307;191;306
Resource 6,149;100;227;32;83;89;186;115;55;225;134;341;72;103;196;201;263;315;269;344
Resource 7,114;59;91;320;152;211;255;222;218;79;249;25;38;326;194;352;94;241;258;226
Resource 8,39;33;232;19;120;164;182;17;23;108;256;10;305;281;111;284;243;350;309;221
Resource 9,13;71;70;260;325;348;7;276;168;185;49;163;230;205;42;173;145;213;130;275
Resource 10,298;20;66;137;335;288;212;11;124;170;160;304;233;235;123;61;101;5;351;358
Resource 11,217;127;181;26;87;135;78;214;129;240;285;266;125;24;176;85;245;68;109;192
Resource 12,98;46;148;287;349;282;183;132;169;99;321;18;41;189;88;312;180;283;143;155
Resource 13,159;272;36;27;30;252;268;147;254;161;54;311;8;342;248;184;197;327;356;121
Resource 14,76;361;355;12;97;339;156;95;92;297;1;274;267;140;345;210;203;112;253;126
Resource 15,343;40;43;146;102;190;219;67;45;360;200;277;331;142;280;96;330;286;104;259
Resource 16,22;16;207;290;29;63;244;187;6;119;116;144;90;206;73;9;136;105;262;357
Resource 17,314;332;131;174;56;3;165;51;333;239;64;246;354;80;224;158;317;50;162;340
