resource_name,assignment_ids
Resource 0,52;84;196;220;60;199;127;38;110;152;4;81;137;107
Resource 1,217;234;48;0;93;203;120;6;212;140;156;66;78;204
Resource 2,119;97;211;101;112;7;154;106;218;29;169;49;194;64
Resource 3,208;11;225;75;92;144;232;10;175;45;94;130;121;46
Resource 4,176;192;27;160;35;21;236;229;50;231;86;12;51;87
Resource 5,39;147;100;226;177;182;151;57;178;150;70;210;36;195
Resource 6,69;173;186;145;72;153;109;206;215;102;122;117;62;128
Resource 7,19;168;113;24;30;174;139;191;213;141;165;96;228;183
Resource 8,9;200;166;135;68;197;104;116;23;55;63;43;124;16
Resource 9,227;149;118;65;129;142;179;209;189;143;37;216;159;53
Resource 10,105;181;103;85;61;190;17;126;170;83;230;205;1;224
Resource 11,187;146;188;82;157;198;3;58;79;88;131;114;2;44
Resource 12,148;158;132;91;90;115;41;77;14;219;26;98;8;133
Resource 13,134;5;125;25;42;99;111;28;222;171;18;22;71;33
Resource 14,80;47;67;233;223;89;164;167;193;123;180;237;13;56
Resource 15,155;162;185;214;34;221;108;76;15;95;163;184;138;32
Resource 16,59;74;235;201;73;172;207;20;40;54;31;136;202;161
