resource_name,assignment_ids
Resource 0,150;0;36;107;69;21;126;128;135;43;115;47;38;100;118;111;170;131;35
Resource 1,45;64;147;90;27;50;97;94;8;130;123;39;203;93;101;140;46;75;74
Resource 2,138;17;102;109;167;108;70;153;129;199;86;34;151;44;42;85;171;31;92
Resource 3,174;84;73;68;158;113;159;80;201;20;72;187;14;25;104;145;37;41;52
Resource 4,55;26;137;207;83;22;67;79;4;29;198;176;105;164;40;65;181;11;139
Resource 5,134;1;125;116;120;149;77;48;191;205;6;189;179;132;7;173;61;183;32
Resource 6,54;124;177;168;165;133;143;196;99;188;49;3;169;206;144;53;98;95;136
Resource 7,30;33;66;96;127;156;10;200;2;193;146;15;122;182;195;114;51;148;23
Resource 8,175;152;117;28;192;161;103;163;88;60;180;186;190;81;157;12;202;76;5
Resource 9,197;57;82;89;78;155;13;166;71;63;112;185;204;18;91;160;62;58;172
Resource 10,194;162;56;9;184;110;154;16;24;87;121;19;142;178;59;141;106;119
