resource_name,assignment_ids
Resource 0,25;91;126;36;142;103;85;216;94;190;89;188;243;125;210;133
Resource 1,205;176;40;182;238;186;43;51;191;69;250;31;230;242;227;263
Resource 2,75;203;26;39;160;74;21;20;76;6;66;214;84;159;102
Resource 3,170;65;155;163;77;124;107;105;171;128;29;255;181;201;49
Resource 4,251;167;10;139;56;189;213;90;83;119;4;209;143;183;30
Resource 5,208;256;44;215;32;60;131;109;152;71;57;177;225;111;260
Resource 6,169;207;266;246;9;172;96;166;146;245;141;234;222;223;99
Resource 7,228;115;27;42;80;70;108;269;185;58;106;41;224;81;206
Resource 8,86;72;197;237;244;5;17;147;165;11;118;82;46;137;158
Resource 9,199;192;232;220;140;241;104;52;157;114;98;247;95;23;180
Resource 10,151;254;258;264;61;100;45;127;195;239;38;0;217;7;116
Resource 11,156;236;34;14;123;68;150;88;138;145;18;15;194;161;218
Resource 12,202;271;136;64;164;92;148;200;113;122;59;79;253;179;16
Resource 13,3;130;144;48;173;235;204;221;28;265;35;248;193;252;135
Resource 14,262;196;129;121;54;22;259;13;55;33;219;63;132;261;47
Resource 15,37;50;110;231;187;112;212;134;154;184;174;168;175;8;162
Resource 16,267;97;268;62;101;19;270;87;257;153;149;249;117;53;24
Resource 17,93;198;73;120;233;67;1;211;2;178;226;12;229;240;78
