resource_name,assignment_ids
Resource 0,134;274;285;88;182;1;26;58;174;22;47;229;299;69;10;237;111
Resource 1,139;211;90;36;94;223;98;60;250;225;44;287;252;239;50;233;9
Resource 2,124;43;7;301;146;176;87;281;293;61;149;165;228;117;235;283;184
Resource 3,86;105;192;99;161;78;195;216;63;279;205;80;261;224;144;177;64
Resource 4,71;31;91;93;194;249;52;133;115;81;122;120;263;179;267;292;268
Resource 5,143;180;17;286;4;32;291;265;298;11;72;170;79;159;200;127;199
Resource 6,295;16;284;53;110;73;29;198;28;172;206;84;296;231;108;33;18
Resource 7,209;257;243;244;59;145;101;280;219;57;189;39;5;68;222;181;234
Resource 8,104;74;34;70;25;138;196;155;125;173;89;82;157;56;187;23;241
Resource 9,0;42;158;272;123;131;148;21;156;183;188;37;204;152;100;151;256
Resource 10,197;154;46;203;129;300;128;260;38;13;270;191;67;137;49;140;41
Resource 11,164;119;271;83;178;269;136;160;62;85;2;118;15;54;27;193;141
Resource 12,12;258;8;171;162;77;97;30;213;207;48;245;251;202;163;236;24
Resource 13,135;14;45;302;255;130;226;262;186;277;220;65;96;282;19;273;103
Resource 14,215;266;297;116;201;40;212;114;275;142;210;294;166;242;288;35;6
Resource 15,92;113;121;109;276;259;254;190;150;3;217;147;218;95;290;246
Resource 16,66;169;107;248;247;112;55;253;51;167;168;208;126;106;102;232
Resource 17,153;238;221;75;240;185;278;230;214;76;175;132;264;20;227;289
