resource_name,assignment_ids
Resource 0,140;108;155;129;82;90;75;70;112
Resource 1,138;19;150;12;30;119;81;137;3
Resource 2,62;139;41;142;99;143;106;66;55
Resource 3,88;32;114;21;72;86;123;44;87
Resource 4,31;22;135;93;68;115;61;60;64
Resource 5,132;20;15;73;94;95;91;46;102
Resource 6,109;14;4;80;51;78;43;76;24
Resource 7,89;134;7;71;8;47;149;34;53
Resource 8,17;96;77;124;33;117;50;136;128
Resource 9,154;35;56;69;23;151;92;104;98
Resource 10,37;5;116;25;63;16;57;38;131
Resource 11,1;111;133;107;100;144;67;52;0
Resource 12,65;127;40;130;113;148;45;36
Resource 13,85;58;118;11;122;54;103;145
Resource 14,13;83;126;26;141;84;152;2
Resource 15,97;110;28;48;79;120;59;147
Resource 16,146;10;6;29;74;9;121;153
Resource 17,101;42;125;18;105;39;27;49
