resource_name,assignment_ids
Resource 0,63;251;112;181;189;120;200;134;213;144;32;117;174;240;4;244;262;156
Resource 1,159;11;79;148;69;67;182;48;192;234;221;238;214;236;8;27;34;175
Resource 2,226;140;60;263;36;202;186;190;91;1;239;23;209;65;25;130;73;119
Resource 3,97;92;179;229;232;100;49;233;150;52;264;59;222;228;158;37;235;56
Resource 4,206;90;245;77;2;168;194;171;196;94;265;50;163;267;157;161;121;116
Resource 5,142;218;247;217;9;86;54;30;170;3;185;260;132;41;68;108;40;111
Resource 6,78;220;103;75;210;178;133;153;89;180;137;149;38;21;195;268;35;257
Resource 7,6;10;141;255;84;176;39;135;118;93;13;258;72;215;5;76;205;64
Resource 8,87;106;115;83;0;81;55;147;143;122;99;131;223;33;53;155;129;43
Resource 9,246;164;62;44;47;102;14;95;225;183;12;166;252;208;110;51;198;241
Resource 10,71;243;16;74;26;227;204;230;151;177;256;165;85;172;152;107;42;139
Resource 11,191;162;167;82;29;219;123;15;66;104;203;17;242;46;70;126;160;145
Resource 12,266;201;88;216;109;250;18;61;224;184;96;193;22;211;237;136;199;253
Resource 13,197;187;146;173;127;261;101;28;128;138;19;125;20;113;45;124;188;231
Resource 14,114;254;7;58;105;259;212;98;24;169;31;248;57;249;269;207;154;80
