predecessor_id,successor_id,type
0,91,1
61,72,1
61,66,3
1,53,1
54,77,1
2,29,1
73,74,3
73,86,1
73,98,1
50,51,1
42,43,0
3,58,1
64,65,1
53,68,1
53,54,1
4,57,3
62,63,1
62,64,1
62,70,1
5,15,3
5,59,1
5,54,1
65,68,1
65,67,1
65,89,1
6,37,1
7,42,1
20,21,1
22,32,1
22,23,1
39,51,1
56,70,1
56,57,3
8,27,1
43,44,1
43,72,1
9,91,1
10,39,1
10,40,1
11,34,1
30,31,1
40,46,1
40,85,1
12,77,1
13,20,1
14,16,1
21,22,1
94,95,1
16,52,1
16,30,1
16,70,1
98,99,1
84,85,1
84,86,1
84,89,3
17,37,3
17,18,1
67,69,3
19,20,1
24,67,3
91,97,1
46,47,1
46,77,1
25,97,1
77,78,3
77,82,3
77,79,3
26,95,1
79,80,0
79,81,3
28,38,1
29,39,1
29,60,1
29,30,1
49,50,1
32,64,3
74,75,1
48,49,1
48,95,3
48,53,1
33,37,1
34,36,1
82,96,1
35,71,1
36,72,1
36,37,1
38,39,0
38,40,1
70,71,1
93,94,1
41,42,1
45,46,1
45,48,1
52,53,3
55,56,1
95,96,0
59,98,1
72,73,1
60,62,1
60,61,1
76,77,1
83,84,1
83,88,0
83,87,0
90,91,1
92,93,0
97,98,3
