id,hours,start,duration
0,52,0,5
1,319,0,31
2,184,0,18
3,98,0,9
4,978,0,97
5,67,0,6
6,134,0,13
7,242,0,24
8,169,0,16
9,70,0,7
10,183,0,18
11,294,0,29
12,626,0,62
13,420,0,42
14,95,0,9
15,111,0,11
16,63,9,6
17,202,0,20
18,690,20,69
19,500,0,50
20,191,50,19
21,668,69,66
22,240,135,24
23,60,159,6
24,98,0,9
25,139,0,13
26,83,0,8
27,80,16,8
28,61,0,6
29,230,18,23
30,50,41,5
31,54,46,5
32,73,159,7
33,50,0,5
34,108,29,10
35,50,0,5
36,115,39,11
37,174,50,17
38,129,6,12
39,65,41,6
40,51,18,5
41,108,0,10
42,52,24,5
43,216,8,21
44,364,29,36
45,228,0,22
46,50,23,5
47,226,28,22
48,261,22,26
49,565,48,56
50,137,104,13
51,134,117,13
52,300,15,30
53,53,48,5
54,60,53,6
55,817,0,81
56,91,81,9
57,115,81,11
58,90,9,9
59,142,6,14
60,71,41,7
61,307,48,30
62,90,48,9
63,434,57,43
64,125,159,12
65,109,171,10
66,219,48,21
67,51,181,5
68,53,181,5
69,75,181,7
70,505,90,50
71,50,140,5
72,106,78,10
73,774,88,77
74,50,88,5
75,255,93,25
76,162,0,16
77,63,62,6
78,89,62,8
79,316,62,31
80,58,88,5
81,440,62,44
82,64,62,6
83,186,0,18
84,194,18,19
85,93,37,9
86,456,165,45
87,168,2,16
88,77,11,7
89,97,181,9
90,206,0,20
91,92,20,9
92,67,0,6
93,138,0,13
94,1063,13,106
95,479,119,47
96,50,161,5
97,77,29,7
98,171,165,17
99,113,182,11
