predecessor_id,successor_id,type
313,314,3
313,323,1
0,1,1
202,203,1
202,204,3
1,227,1
122,123,1
249,250,1
2,185,3
3,321,3
302,303,1
110,196,1
227,228,0
201,202,1
323,325,3
323,324,1
207,234,3
207,210,0
93,94,1
203,212,1
250,256,1
250,251,1
87,262,1
4,230,1
5,251,0
6,240,1
7,263,3
8,282,1
8,97,0
8,257,1
9,183,1
9,296,3
204,211,1
204,205,1
10,262,1
238,240,1
238,239,1
11,274,1
305,319,0
305,306,3
45,168,1
45,46,3
142,293,3
12,314,1
106,111,1
13,81,1
14,245,3
83,84,1
69,70,1
15,276,3
197,199,1
197,208,0
262,264,1
262,265,0
262,263,1
16,88,0
152,270,3
150,203,1
17,184,1
18,104,1
306,307,1
306,308,1
180,181,0
19,292,1
267,268,1
267,270,1
267,297,3
244,245,3
20,102,3
181,251,1
309,310,1
21,172,1
22,64,1
22,81,1
221,222,3
221,307,1
23,248,1
237,241,0
237,238,1
219,277,3
84,320,1
95,96,1
25,187,1
24,25,1
26,122,1
27,156,3
27,148,1
28,261,0
29,187,1
268,272,1
30,227,3
85,205,1
31,239,0
32,299,1
33,191,1
34,178,1
35,157,1
35,50,1
35,131,1
35,323,1
35,93,1
36,37,1
36,244,1
311,321,3
310,312,1
310,311,1
38,232,1
39,155,1
40,326,1
153,295,1
52,172,1
41,101,1
41,46,1
168,286,1
168,170,1
198,206,3
200,221,1
200,201,0
289,299,1
308,309,1
243,244,1
42,73,1
56,250,0
245,285,1
43,299,1
44,45,1
44,119,1
242,252,1
242,329,1
242,243,3
314,317,1
314,316,1
47,240,1
48,296,3
48,161,1
70,71,1
273,284,3
199,200,3
49,308,1
318,327,1
281,306,3
169,197,1
239,246,3
64,138,1
64,100,1
100,116,1
205,209,1
51,52,1
53,250,1
206,207,1
206,325,1
54,181,0
275,311,1
275,276,1
275,277,1
55,56,1
75,92,1
233,252,1
322,328,1
322,323,0
57,139,1
121,122,1
107,108,1
107,298,1
58,142,1
59,219,1
59,60,1
61,194,3
61,256,3
62,66,3
63,187,1
63,319,0
63,64,1
63,119,1
65,126,1
240,247,1
108,264,1
108,109,1
108,310,0
139,140,3
139,238,1
66,67,0
209,323,1
210,241,1
291,292,1
68,69,3
145,146,3
72,306,3
158,194,1
158,235,1
158,159,1
155,276,1
118,135,1
118,119,3
73,193,1
74,170,1
74,155,1
74,75,3
109,110,1
135,136,3
76,222,1
312,313,1
312,315,1
77,114,1
103,166,1
78,94,3
78,79,1
325,326,1
80,272,0
212,218,3
212,213,0
94,95,1
81,174,1
82,83,1
82,85,3
183,299,0
86,87,1
317,318,1
111,219,0
91,267,1
88,325,1
89,142,3
89,91,1
89,90,3
89,307,1
89,282,3
92,93,1
92,274,1
98,325,1
159,289,1
99,100,0
101,241,1
319,320,1
102,103,1
321,322,1
104,219,1
104,117,1
105,152,1
105,106,3
105,107,0
179,279,1
179,180,1
112,271,0
113,114,1
113,192,1
115,273,3
241,247,3
241,307,3
241,242,1
146,212,1
117,130,1
117,132,1
117,118,1
218,330,1
218,219,1
218,263,1
120,121,1
284,318,1
124,156,1
125,225,1
126,169,1
127,219,3
246,276,1
128,134,3
128,280,1
129,130,1
132,229,1
133,254,3
133,165,1
133,257,1
144,145,1
144,316,3
134,135,1
137,296,0
137,276,1
213,321,1
138,268,1
138,139,3
259,260,1
261,262,3
141,142,1
143,144,3
248,249,1
147,148,1
214,218,1
149,150,1
151,152,1
151,153,1
247,248,1
154,189,1
154,155,1
154,242,1
156,296,1
157,158,1
160,294,1
162,276,0
162,263,1
163,318,1
164,330,1
172,314,0
165,210,1
167,168,1
167,169,1
196,198,1
196,197,1
196,214,1
270,271,1
270,274,1
171,172,1
173,329,1
175,312,1
175,246,0
176,229,1
177,194,1
177,277,3
177,292,3
193,194,1
178,278,1
178,198,0
178,179,1
235,293,1
235,269,1
182,183,1
292,293,1
186,187,0
188,255,1
189,190,1
272,273,1
192,193,1
192,298,1
195,196,1
215,228,1
216,319,1
217,218,1
220,221,1
223,296,1
328,329,1
274,275,1
224,304,1
226,227,1
229,230,1
278,281,1
278,280,1
278,279,1
231,249,3
232,233,1
252,279,1
234,235,3
236,237,1
253,321,1
288,289,1
254,255,0
287,288,3
256,291,1
257,258,3
257,259,1
257,261,0
266,267,1
266,278,1
266,294,1
266,269,1
283,284,1
286,287,1
290,291,1
294,295,3
298,299,1
298,300,1
301,302,1
301,309,1
304,305,1
