resource_name,assignment_ids
Resource 0,67;22;59;88;168;191;95;42;173;45;76;40;189;50;134;60
Resource 1,119;66;142;147;2;41;146;25;109;131;135;141;89;115;48;84
Resource 2,139;78;137;97;13;94;12;1;110;33;52;122;96;158;174;145
Resource 3,153;156;80;167;177;106;108;117;28;54;6;162;165;157;138;104
Resource 4,16;27;34;7;17;79;74;44;4;68;20;65;186;170;126;35
Resource 5,83;130;3;132;31;175;11;19;75;70;64;86;18;47;112;92
Resource 6,169;155;180;85;58;129;77;125;98;38;8;152;123;30;133;116
Resource 7,37;5;149;188;93;172;144;176;36;183;72;99;101;150;63;107
Resource 8,151;171;100;23;184;181;159;118;120;10;43;164;87;113;53;39
Resource 9,140;29;154;26;136;82;90;62;0;24;73;166;185;148;114;128
Resource 10,81;21;163;15;61;105;49;187;161;71;91;14;32;160;69;121
Resource 11,103;102;57;56;111;55;190;143;182;124;127;9;178;179;46;51
