resource_name,assignment_ids
Resource 0,158;187;189;12;110;82;85;195;206;49;262;172;246;279;48;320;71;152;278;3;221;302;47;197
Resource 1,276;230;190;98;282;264;317;257;142;298;24;42;21;178;295;78;288;62;286;241;57;18;156;105
Resource 2,147;182;272;243;125;231;323;15;228;225;87;310;266;46;263;313;113;37;159;260;73;9;106
Resource 3,145;133;319;299;45;191;247;56;72;67;69;93;213;194;79;305;126;301;5;267;316;166;216
Resource 4,54;234;173;203;148;309;74;244;137;200;258;132;165;205;150;50;61;235;104;297;38;8;307
Resource 5,117;140;13;253;271;25;315;33;127;41;32;215;111;151;59;212;192;80;76;95;138;275;63
Resource 6,17;114;60;293;164;30;153;141;248;99;259;208;11;81;14;139;84;108;224;27;240;146;136
Resource 7,281;308;251;169;120;130;254;20;245;124;2;129;285;227;214;199;170;123;222;204;303;252;186
Resource 8,89;65;198;283;196;68;321;55;322;181;122;161;118;70;160;121;112;229;256;311;31;36;217
Resource 9,86;179;294;162;236;306;75;277;296;149;52;115;168;4;44;90;101;261;35;88;19;242;232
Resource 10,40;218;100;176;58;226;83;207;250;184;185;157;180;201;116;174;270;202;223;34;96;6;193
Resource 11,291;255;220;284;91;209;143;219;43;26;135;154;22;268;0;211;77;188;318;7;163;290;119
Resource 12,92;269;183;109;287;94;131;304;274;273;210;16;39;233;239;29;102;107;175;265;177;53;249
Resource 13,97;155;280;64;66;134;300;103;23;167;51;10;128;28;289;312;237;171;314;292;1;238;144
