resource_name,assignment_ids
Resource 0,246;175;241;176;201;142;81;337;141;304;259;239;217;65;206;216;183;125;153;306;73;315;62;143;312;349;308;190;45;323
Resource 1,133;107;23;317;28;338;3;250;168;64;245;13;215;109;320;226;200;136;292;67;122;244;104;27;160;66;139;15;87;157
Resource 2,195;340;193;84;329;105;293;225;123;121;116;232;154;113;11;224;260;343;98;101;26;53;355;70;82;253;186;208;237;182
Resource 3,188;187;44;282;194;298;173;14;266;34;131;302;324;145;265;91;165;287;310;61;233;72;69;184;218;331;199;63;271;119
Resource 4,196;90;93;243;85;78;295;356;58;10;270;227;228;167;83;75;108;16;25;60;71;92;6;49;94;181;296;106;43;261
Resource 5,35;158;322;248;59;242;341;303;79;151;307;238;138;272;328;96;130;12;9;191;20;135;18;166;68;257;150;40;189;161
Resource 6,144;17;197;274;132;192;140;281;33;254;117;297;252;350;336;330;221;279;249;262;114;111;52;51;327;354;240;222;38;344
Resource 7,31;100;251;89;171;21;148;179;137;283;213;1;277;258;301;77;273;102;57;29;198;129;19;47;309;86;231;178;280;207
Resource 8,5;172;219;299;39;30;314;210;294;205;162;8;321;76;152;351;177;278;332;174;267;236;149;264;335;223;334;229;159;275
Resource 9,127;353;95;185;203;180;235;234;305;22;118;211;55;209;255;268;24;276;110;88;284;348;42;289;220;120;115;204;263
Resource 10,56;146;4;290;112;46;32;97;326;288;0;169;156;2;325;54;347;316;352;50;48;41;300;346;319;313;339;170;247
Resource 11,74;37;36;311;333;318;286;99;285;147;103;212;124;126;164;342;230;345;7;269;80;291;155;256;214;163;134;202;128
