resource_name,assignment_ids
Resource 0,250;289;238;42;21;261;244;127;37;125;223;84;270;188;177;258;43;49;68;147;95;93;62;91
Resource 1,41;233;3;7;71;1;317;316;123;55;79;276;173;271;47;25;53;70;288;212;311;131;268;100
Resource 2,72;61;18;291;181;65;86;179;322;89;260;176;23;148;101;230;97;166;243;245;282;140;54;137
Resource 3,198;153;307;45;194;205;150;160;33;190;192;204;169;265;222;119;151;275;175;281;299;14;172
Resource 4,240;269;304;115;154;228;132;187;19;142;13;184;67;189;313;16;305;44;92;191;216;17;312
Resource 5,66;10;32;324;9;104;318;264;273;162;110;82;310;76;208;102;83;257;302;201;235;48;315
Resource 6,145;157;108;323;202;77;117;293;231;209;59;75;135;206;286;227;239;98;290;159;234;278;174
Resource 7,283;138;109;155;141;256;279;253;105;301;164;182;80;266;60;183;214;213;50;171;122;211;133
Resource 8,46;64;170;314;26;118;292;28;129;152;199;296;126;85;96;78;320;114;31;12;24;20;74
Resource 9,226;219;285;34;4;263;272;309;161;241;306;262;225;144;196;2;40;249;136;298;90;134;116
Resource 10,56;22;29;139;38;27;107;237;210;295;146;128;221;8;303;158;236;197;51;277;220;242;280
Resource 11,186;165;215;180;167;69;112;58;193;111;319;200;168;11;30;156;149;73;106;255;143;247;207
Resource 12,300;121;252;163;87;259;99;6;15;178;217;94;246;232;308;321;57;203;124;254;36;267;0
Resource 13,195;274;294;120;218;39;130;284;287;113;248;63;5;52;185;88;81;224;229;297;251;103;35
