resource_name,assignment_ids
Resource 0,165;335;155;87;219;276;331;207;18;180;148;83;64;93;182;189;76;358;369;315;52;230
Resource 1,300;170;316;7;120;377;113;252;19;236;73;27;3;272;174;31;361;325;249;365;37;133
Resource 2,261;61;33;311;34;71;347;60;224;2;90;141;221;152;201;354;48;197;124;102;279
Resource 3,13;220;15;75;160;30;209;57;339;17;313;344;128;181;43;297;81;350;304;1;341
Resource 4,63;100;49;281;12;342;223;234;364;29;269;346;153;85;329;22;139;320;242;98;270
Resource 5,79;96;328;274;104;303;378;42;50;172;150;289;237;371;308;46;55;132;217;147;322
Resource 6,372;282;35;21;295;250;185;187;255;204;257;129;258;193;244;200;343;140;145;4;54
Resource 7,16;215;370;44;95;338;239;319;245;336;179;62;123;97;243;80;68;111;159;136;138
Resource 8,69;292;154;101;293;267;115;210;317;162;163;312;208;229;164;40;118;143;146;196;228
Resource 9,70;51;20;259;161;127;142;137;376;231;11;302;309;275;105;0;367;222;192;253;355
Resource 10,288;195;254;89;212;134;130;359;290;110;25;296;99;238;190;103;188;167;151;332;251
Resource 11,327;107;271;74;116;117;227;263;88;326;285;184;298;232;318;8;334;156;241;45;299
Resource 12,294;173;175;202;248;135;286;183;368;39;379;349;330;305;321;108;337;166;65;256;314
Resource 13,247;216;67;375;273;77;283;9;176;26;191;119;106;205;260;32;78;333;158;301;360
Resource 14,291;28;218;38;211;264;84;199;310;59;6;23;277;352;125;284;287;144;268;53;112
Resource 15,58;66;169;72;171;353;278;363;246;56;194;213;225;307;324;168;36;131;157;177;203
Resource 16,94;262;226;214;348;340;114;374;198;86;357;240;356;373;362;24;126;186;280;92;206
Resource 17,323;178;149;265;235;109;122;345;41;121;14;233;91;5;10;306;266;47;351;366;82
