resource_name,assignment_ids
Resource 0,128;131;305;142;375;73;223;64;384;314;243;208;235;75;257;225;140;217;266;91;98;396;85;95;322
Resource 1,162;193;230;8;212;259;49;184;179;345;2;130;86;328;135;298;285;205;56;203;80;275;354;387;112
Resource 2,263;232;68;309;10;377;214;340;9;77;122;224;363;380;338;358;228;369;199;175;118;116;300;262;327
Resource 3,103;269;218;331;143;19;58;366;279;137;195;182;192;261;23;372;307;15;87;121;236;72;392;55;303
Resource 4,385;178;29;348;320;323;197;258;337;66;180;13;42;245;356;295;382;152;190;227;123;343;36;38;134
Resource 5,352;234;216;151;357;222;371;336;312;241;267;63;35;270;115;166;26;386;83;226;244;172;51;281;359
Resource 6,394;104;362;45;21;78;221;101;147;54;289;181;16;160;240;319;304;374;53;255;32;114;209;315;161
Resource 7,254;353;94;194;4;176;149;388;361;167;81;174;76;311;5;287;106;96;265;326;88;164;291;111;213
Resource 8,43;251;124;247;229;153;74;97;284;107;165;185;110;41;79;109;333;334;48;129;299;342;316;70;344
Resource 9,350;120;252;71;246;376;324;169;24;90;381;395;187;215;308;390;0;301;288;250;84;62;125;3;290
Resource 10,154;271;282;145;219;198;202;378;138;313;163;183;156;171;100;60;191;292;231;133;148;201;196;306;28
Resource 11,349;274;365;157;379;61;294;273;136;27;67;297;341;220;20;139;332;173;329;113;30;256;367;155;272
Resource 12,186;46;188;239;11;93;14;321;237;6;37;397;92;89;34;141;69;204;383;132;335;126;393;268;347
Resource 13,127;364;168;50;351;391;280;317;40;302;59;278;22;325;102;82;242;233;189;211;360;108;117;248;293
Resource 14,276;7;39;17;44;370;159;33;283;339;25;200;144;65;170;373;249;119;398;318;310;296;177;210;31
Resource 15,57;286;260;253;105;264;206;52;207;346;158;12;146;47;368;277;99;238;150;330;1;389;355;18
