resource_name,assignment_ids
Resource 0,164;172;47;103;2;171;17;40;114;152;116;19;15;74;69
Resource 1,162;170;254;55;225;212;61;1;251;167;201;124;180;227;244
Resource 2,241;56;209;149;115;216;145;221;126;235;94;259;111;192;205
Resource 3,71;8;26;51;39;77;151;37;127;62;119;243;73;215;27
Resource 4,147;75;142;44;64;101;100;198;250;179;102;41;85;242;70
Resource 5,117;183;9;258;174;95;163;144;105;16;80;86;96;67;153
Resource 6,143;122;13;187;204;252;31;248;230;25;194;208;81;87;11
Resource 7,231;28;190;219;88;253;32;79;239;138;189;166;154;109;76
Resource 8,177;60;150;6;112;237;210;104;155;133;72;228;159;148
Resource 9,134;169;184;246;229;141;158;58;12;90;63;5;82;223
Resource 10,59;200;89;110;99;232;140;108;123;245;160;211;29;249
Resource 11,18;93;257;23;247;21;236;92;35;218;178;238;146;48
Resource 12,43;161;131;118;106;125;65;57;20;128;120;137;83;132
Resource 13,24;22;213;129;42;139;188;255;182;199;176;113;130;240
Resource 14,224;34;78;203;68;186;214;98;97;181;217;256;66;121
Resource 15,185;107;49;173;157;36;222;135;206;156;191;10;193;226
Resource 16,195;175;234;53;0;220;14;38;52;202;165;168;30;196
Resource 17,84;4;54;7;207;233;45;50;33;3;197;136;91;46
