resource_name,assignment_ids
Resource 0,150;174;313;116;431;103;267;369;81;375;182;194;328;276;402;300;410;390;322;232;372;391;124;192;295;111;342;407;370;163;269;261;45;385
Resource 1,113;201;76;133;130;236;33;136;70;209;299;3;249;364;161;394;361;388;66;173;219;22;171;447;308;31;191;333;142;179;135;10;306;177
Resource 2,255;5;421;343;319;92;7;35;155;149;275;138;324;0;274;229;287;123;460;56;91;362;162;184;374;381;314;290;243;248;51;426;15;413
Resource 3,210;167;268;427;376;97;294;189;122;172;368;89;454;469;386;90;50;154;175;317;429;252;464;71;395;141;107;354;367;286;266;198;237;128
Resource 4,437;148;424;450;302;69;344;185;315;158;455;178;72;25;458;446;153;132;347;453;166;420;419;393;270;95;32;120;42;334;262;222;186;240
Resource 5,14;21;442;26;152;345;406;366;4;199;298;187;253;433;337;37;392;213;357;16;126;456;60;12;147;228;470;30;63;164;106;439;216;346
Resource 6,8;452;157;87;53;23;398;412;205;59;465;384;104;408;310;78;82;397;365;151;415;430;19;238;277;212;396;115;379;311;224;329;233;445
Resource 7,110;46;250;363;265;183;320;13;403;327;309;43;247;462;6;74;400;292;220;117;326;325;448;359;349;338;28;303;451;425;350;428;244;88
Resource 8,404;401;417;434;169;416;36;225;242;371;86;39;278;83;73;217;131;197;245;20;2;9;321;373;380;323;432;316;94;459;284;254;305;231
Resource 9,200;41;125;40;285;335;291;221;68;27;67;279;137;257;378;230;235;180;409;260;38;461;340;297;466;283;114;423;215;159;422;281;101
Resource 10,193;263;331;360;318;293;436;227;339;145;288;444;443;62;202;98;144;204;146;156;440;289;17;218;414;264;84;418;188;75;208;441;96
Resource 11,259;134;108;61;296;99;223;258;93;377;211;112;463;239;352;383;119;195;356;18;52;272;304;203;47;29;353;457;280;234;65;282;77
Resource 12,105;449;241;271;387;54;355;48;336;100;307;58;143;207;102;24;109;405;206;170;176;49;196;55;341;348;181;330;382;332;411;214;118
Resource 13,351;389;34;468;435;301;438;85;129;399;44;226;190;1;79;64;140;11;246;273;168;121;127;251;160;358;80;57;139;256;312;467;165
