resource_name,assignment_ids
Resource 0,42;126;63;29;142;62;26;47;34;68;59;41
Resource 1,37;35;48;100;132;7;143;11;115;110;127;86
Resource 2,108;149;55;118;106;80;50;10;16;98;102;92
Resource 3,82;119;95;104;107;88;81;65;103;74;44;39
Resource 4,96;4;30;94;1;134;5;32;15;139;152;56
Resource 5,53;76;146;128;147;0;22;91;3;125;70;120
Resource 6,79;145;54;2;140;51;66;17;111;69;131;123
Resource 7,141;72;71;117;93;31;52;18;21;33;12;13
Resource 8,57;43;45;61;6;60;153;135;19;138;24;133
Resource 9,87;49;28;40;137;25;109;97;27;124;114;144
Resource 10,116;23;105;77;112;129;150;151;58;64;85;38
Resource 11,8;130;9;89;99;90;148;121;78;122;46
Resource 12,84;75;73;136;83;36;101;20;14;113;67
