resource_name,assignment_ids
Resource 0,118;66;87;94;134;136;28;74;12
Resource 1,49;128;88;93;85;126;132;50;63
Resource 2,82;106;130;65;115;26;112;23;17
Resource 3,18;110;101;89;16;105;0;57;91
Resource 4,90;127;2;59;52;107;51;64;62
Resource 5,103;104;22;113;29;24;32;102;5
Resource 6,54;133;116;72;44;6;15;135;1
Resource 7,77;86;14;19;43;58;33;129;68
Resource 8,34;38;111;55;67;8;61;80;125
Resource 9,78;48;45;41;122;21;83;10
Resource 10,108;56;40;99;124;81;96;27
Resource 11,76;131;11;123;70;69;117;42
Resource 12,97;30;84;20;3;75;13;92
Resource 13,60;120;35;95;4;53;71;39
Resource 14,31;119;121;79;37;100;73;47
Resource 15,25;109;9;114;46;98;36;7
