resource_name,assignment_ids
Resource 0,11;67;77;82;74;86;111;18;105;47
Resource 1,58;28;1;60;93;30;19;79;107;88
Resource 2,87;80;57;125;8;38;100;71;61;98
Resource 3,14;114;24;116;97;115;50;45;62;3
Resource 4,112;33;73;84;49;102;13;121;83;99
Resource 5,15;0;126;46;32;41;54;44;95;51
Resource 6,122;35;92;34;89;69;109;118;23;9
Resource 7,75;108;64;91;40;10;2;25;5;76
Resource 8,29;42;104;120;119;43;31;55;123;101
Resource 9,6;78;90;16;21;81;20;63;26;12
Resource 10,124;72;59;65;36;48;37;68;52
Resource 11,106;70;96;39;110;4;22;103;113
Resource 12,94;66;7;117;53;85;17;27;56
