resource_name,assignment_ids
Resource 0,132;177;147;170;35;186;45;39;100;204;22;210
Resource 1,21;8;174;97;154;221;220;193;27;69;217;164
Resource 2,201;212;122;180;151;127;24;6;141;146;20;74
Resource 3,172;158;80;38;115;53;150;148;76;0;189;200
Resource 4,25;41;11;131;175;31;106;71;153;81;209;50
Resource 5,109;128;43;108;5;171;133;85;47;94;197;117
Resource 6,169;63;173;55;64;184;144;129;113;78;103;83
Resource 7,88;222;123;57;101;135;19;196;37;188;168;44
Resource 8,84;46;152;68;56;214;102;86;213;166;156;187
Resource 9,2;26;42;121;104;215;218;199;139;48;15;179
Resource 10,126;90;207;70;165;119;124;155;178;149;16;138
Resource 11,163;75;118;10;211;61;130;112;140;190;191;206
Resource 12,157;203;3;23;14;125;93;34;99;195;143;79
Resource 13,1;92;205;7;208;49;29;219;142;192;137;134
Resource 14,116;32;98;62;183;66;145;136;114;161;185
Resource 15,181;17;18;72;120;54;87;9;13;67;89
Resource 16,110;182;28;59;36;51;91;52;73;160;216
Resource 17,176;58;30;40;167;65;96;60;107;162;202
Resource 18,159;95;198;33;4;77;12;194;105;82;111
