resource_name,assignment_ids
Resource 0,148;60;165;233;195;201;305;92;155;52;35;133;199;277;84;137;245
Resource 1,122;278;63;225;6;168;187;135;266;8;240;145;110;86;14;21;129
Resource 2,151;301;142;70;196;39;115;0;13;49;203;300;171;152;219;146;139
Resource 3,144;193;44;24;3;48;288;202;190;131;4;250;23;192;183;293;296
Resource 4,154;56;295;138;109;132;29;167;31;9;260;177;262;207;169;166
Resource 5,83;46;163;38;292;179;254;189;275;237;215;156;22;158;188;263
Resource 6,147;41;264;253;67;159;197;58;270;74;47;178;186;185;218;45
Resource 7,173;153;294;113;157;211;252;120;304;97;272;251;241;181;227;269
Resource 8,127;221;101;81;75;30;164;32;261;172;36;91;220;290;180;126
Resource 9,107;244;16;125;229;18;200;5;223;299;66;206;176;170;116;239
Resource 10,182;226;232;95;50;285;27;216;134;69;307;54;17;234;11;42
Resource 11,130;62;213;297;274;267;255;93;96;98;162;102;12;64;291;224
Resource 12,140;123;51;210;73;184;19;249;268;247;79;302;26;124;76;276
Resource 13,1;7;287;108;53;80;34;214;289;259;88;37;43;104;191;209
Resource 14,33;72;136;236;57;208;15;298;103;160;114;273;194;20;10;55
Resource 15,198;59;257;28;112;105;128;228;117;306;204;68;284;25;78;85
Resource 16,87;141;205;119;121;279;222;40;217;280;99;231;77;90;111;106
Resource 17,71;271;175;248;2;118;281;150;230;174;89;61;283;143;235;303
Resource 18,243;282;82;242;65;94;100;149;286;256;258;265;212;238;161;246
