resource_name,assignment_ids
Resource 0,187;206;70;52;79;57;184;162;213;44;9;87;135;93;4;94;152;132
Resource 1,190;221;56;209;41;58;66;182;49;139;106;136;189;29;61;8;203;196
Resource 2,176;99;7;157;27;180;151;160;21;120;5;201;83;215;202;208;81;13
Resource 3,30;198;175;225;216;31;127;35;73;174;137;183;122;24;231;129;131;12
Resource 4,158;110;36;3;210;170;229;188;149;192;141;125;222;10;172;117;150;55
Resource 5,84;218;80;146;134;77;16;173;164;147;15;46;101;199;59;37;11;193
Resource 6,148;28;167;200;168;115;116;204;165;194;217;67;72;62;0;54;156;112
Resource 7,68;86;40;51;119;88;19;161;224;38;60;197;78;226;100;45;1;65
Resource 8,123;18;53;43;63;69;89;111;138;20;186;32;91;144;214;155;22;159
Resource 9,220;14;71;102;166;50;76;109;85;114;2;33;124;75;133;153;181;6
Resource 10,96;228;95;47;163;179;26;42;130;90;64;142;48;121;23;191;177;82
Resource 11,118;227;34;98;169;230;211;178;212;103;39;195;74;126;140;154;105
Resource 12,223;17;25;205;113;171;97;219;145;185;207;104;92;107;143;128;108
