predecessor_id,successor_id,type
0,56,1
34,60,1
1,23,1
1,76,1
2,94,1
3,62,1
3,55,1
3,89,1
93,94,3
36,74,1
36,38,1
36,45,3
4,56,1
4,91,1
4,85,1
5,50,1
5,32,3
5,44,1
6,15,3
6,11,1
6,35,1
7,51,3
7,62,3
7,76,1
47,80,3
8,45,1
8,88,1
9,75,0
9,40,3
10,78,1
11,38,1
11,29,1
79,80,1
12,71,1
24,31,1
75,77,1
13,76,1
13,55,3
13,79,1
14,47,1
14,65,1
14,19,1
15,55,3
15,79,1
16,41,1
82,91,1
82,86,1
17,48,1
18,84,1
18,55,1
42,43,1
42,54,1
42,46,1
72,73,1
72,76,1
72,74,3
74,75,3
74,81,1
74,90,1
31,35,3
31,32,0
83,85,1
22,63,1
65,66,3
33,47,1
33,34,1
33,49,3
66,77,1
66,69,1
66,86,3
19,20,3
21,22,1
21,49,1
23,30,1
23,24,1
76,89,1
52,53,1
52,81,1
25,92,3
25,88,1
25,65,1
26,64,1
86,87,1
27,40,1
27,41,1
27,71,1
28,77,1
29,46,1
29,40,3
29,32,1
78,79,1
67,68,3
67,96,1
46,47,1
46,61,1
81,82,0
81,83,3
81,84,0
35,36,1
35,37,1
30,31,1
30,33,1
43,59,1
43,84,1
53,56,1
58,59,1
58,77,3
38,40,1
38,48,1
38,62,1
54,91,0
54,55,1
54,79,1
39,54,1
56,95,3
57,58,1
40,92,3
41,45,0
41,42,1
41,76,3
48,51,1
48,49,3
45,46,1
45,96,3
45,48,3
59,60,1
59,61,1
50,95,1
51,57,1
51,54,1
51,52,3
62,92,3
62,67,1
62,64,1
62,65,1
62,91,1
62,63,1
70,94,1
90,91,3
71,78,0
71,88,1
71,72,1
92,93,3
92,95,1
92,96,1
