resource_name,assignment_ids
Resource 0,113;95;93;7;1;2;68;53;116;4;16
Resource 1,102;84;99;117;5;100;104;98;81;71
Resource 2,120;122;31;12;86;30;21;27;80;69
Resource 3,29;85;79;97;43;41;46;89;64;20
Resource 4,65;49;115;123;11;60;78;10;36;17
Resource 5,77;9;126;103;52;15;32;63;48;67
Resource 6,62;87;50;92;34;91;51;105;59;82
Resource 7,70;74;129;37;88;55;94;90;101;114
Resource 8,76;112;130;66;38;19;40;33;26;56
Resource 9,8;3;119;14;0;58;54;125;83;127
Resource 10,45;111;109;61;28;72;23;73;121;42
Resource 11,6;18;44;107;128;24;57;108;39;35
Resource 12,124;47;106;13;22;75;96;118;25;110
