resource_name,assignment_ids
Resource 0,177;175;190;77;202;174;211;41;170;200;179;150;185;217;182;248;228;116;32;173;253;111;53;17;25;247
Resource 1,178;4;187;210;209;162;82;154;40;158;218;34;110;83;108;36;31;71;195;148;92;176;99;229;73;101
Resource 2,90;86;48;238;44;194;21;14;3;12;131;1;35;85;252;2;112;213;62;181;106;196;68;220;27;255
Resource 3,250;104;201;97;214;132;167;37;87;9;65;128;231;223;22;249;197;60;79;193;215;226;117;29;61;107
Resource 4,81;145;69;159;28;230;235;51;225;98;24;180;18;129;113;206;8;157;120;121;139;80;184;124;115;254
Resource 5,232;136;168;56;26;130;141;122;163;203;42;140;222;133;205;39;227;88;183;144;78;153;186;155;63;244
Resource 6,219;164;109;234;11;94;96;100;207;165;143;50;105;199;172;233;33;10;84;30;64;57;160;246;54
Resource 7,251;221;45;75;240;67;156;169;13;243;49;119;142;20;191;70;89;123;216;241;5;102;236;192;59
Resource 8,208;237;146;55;147;198;135;126;212;38;47;6;224;93;188;239;46;91;161;16;58;125;134;114;66
Resource 9,15;204;118;152;7;0;103;43;151;74;138;52;171;242;245;23;19;166;149;189;95;76;72;127;137
