resource_name,assignment_ids
Resource 0,311;388;159;188;363;331;354;196;72;107;266;158;393;291;179;279;376;339;170;434;21;173;195;345;391;320
Resource 1,382;193;231;154;30;301;249;15;312;420;23;45;409;91;221;308;270;324;295;414;271;261;16;57;155;222
Resource 2,77;341;225;123;443;120;192;175;145;217;321;180;306;450;42;243;437;224;190;125;265;101;55;63;214;22
Resource 3,212;162;340;294;438;78;342;144;82;34;426;3;85;330;332;361;400;129;141;313;199;184;449;127;97;122
Resource 4,272;74;87;115;187;14;399;277;111;131;328;147;20;452;407;411;119;431;237;405;359;76;336;338;139
Resource 5,130;278;33;343;171;177;348;358;292;347;381;182;198;25;163;262;51;283;326;149;433;121;297;93;364
Resource 6,357;445;151;61;251;105;135;242;138;223;298;54;315;370;263;395;143;353;142;415;442;200;32;38;229
Resource 7,88;396;238;387;95;75;289;424;360;81;394;260;274;317;325;165;109;258;128;419;287;269;64;327;245
Resource 8,65;371;59;5;69;365;417;377;204;140;40;126;256;148;178;384;185;100;275;421;183;67;390;152;47
Resource 9,374;84;0;58;108;117;168;53;335;439;62;189;282;6;12;186;299;227;323;383;329;447;239;226;410
Resource 10,43;351;11;19;232;416;26;246;268;24;174;430;368;444;398;156;90;52;293;66;404;230;401;254;10
Resource 11,39;372;103;423;333;428;36;288;412;137;436;133;380;70;240;80;211;9;201;49;191;241;102;160;83
Resource 12,8;310;319;250;375;114;164;48;389;203;252;167;273;296;220;309;234;349;169;41;35;350;194;253;202
Resource 13,228;1;397;346;356;215;408;134;378;106;68;233;209;244;276;300;112;318;206;255;18;402;96;453;362
Resource 14,386;429;236;337;110;259;303;56;264;248;344;73;352;4;257;17;281;79;157;89;118;425;216;213;104
Resource 15,205;60;403;176;116;355;99;132;13;197;207;150;98;284;136;94;161;208;286;373;302;316;418;218;369
Resource 16,2;153;113;247;285;367;124;427;314;37;86;334;392;27;28;422;235;307;29;71;432;210;46;146;448
Resource 17,379;7;322;50;31;92;440;304;406;181;451;366;441;385;219;280;166;172;435;305;267;290;413;446;44
