resource_name,assignment_ids
Resource 0,319;250;159;258;14;277;234;13;365;343;146;209;153;282;317;318;308;172;38;44;125;235;82;41;270;357;200;129;80;199;39;26;2;6;84;238;147;384;186
Resource 1,240;29;292;288;21;64;92;36;182;97;376;202;325;323;43;299;383;213;135;34;156;7;334;51;232;8;0;102;139;169;321;60;56;310;27;207;294;87;245
Resource 2,198;208;223;285;249;316;219;251;276;314;360;371;47;295;68;194;42;107;315;120;127;53;113;145;358;73;262;275;151;58;257;351;124;243;290;119;100;190;72
Resource 3,361;22;216;378;83;143;370;76;17;77;69;344;112;79;215;33;359;311;273;306;301;237;345;31;54;362;144;128;261;12;154;164;126;160;369;377;386;181;131
Resource 4,3;15;291;337;61;178;380;246;96;322;74;197;90;94;307;373;1;78;214;187;103;385;52;133;326;46;242;255;264;111;93;236;233;138;338;104;162;303;141
Resource 5,218;101;130;179;163;368;188;352;59;75;67;259;88;231;32;193;28;342;304;327;324;225;180;109;171;49;142;165;9;201;341;203;254;286;354;4;35;20;309
Resource 6,40;367;205;284;339;30;196;25;227;55;379;226;175;247;174;381;65;24;62;168;105;331;244;220;230;45;329;349;63;302;248;204;287;57;134;10;266;148;229
Resource 7,355;70;300;189;212;121;114;99;106;184;50;372;16;333;210;350;85;328;110;366;260;117;152;382;177;155;265;293;297;206;195;18;173;136;320;5;335;183
Resource 8,37;176;289;252;375;118;48;280;149;137;91;271;116;211;81;332;166;221;313;140;374;348;150;224;157;353;222;312;108;279;71;239;66;158;340;256;11;167
Resource 9,19;191;283;281;115;267;347;336;253;161;296;272;241;170;346;263;98;356;330;123;274;278;95;228;23;217;269;122;86;298;364;268;132;363;305;89;185;192
