resource_name,assignment_ids
Resource 0,92;36;8;108;2;70;166;71;145;123;27;138;103
Resource 1,140;131;171;146;109;127;74;16;95;54;35;185;182
Resource 2,80;93;87;81;88;0;78;167;94;158;12;137;18
Resource 3,133;47;24;135;161;130;110;91;76;147;29;67;126
Resource 4,7;168;49;62;132;124;58;164;144;37;116;169;64
Resource 5,100;11;23;73;101;170;51;17;98;46;179;99;32
Resource 6,181;68;90;86;38;142;53;39;72;128;77;19;173
Resource 7,6;112;115;22;13;30;189;85;52;143;122;178;172
Resource 8,150;9;10;4;84;117;66;162;65;75;177;89;148
Resource 9,187;106;136;45;180;156;56;21;40;41;176;159;63
Resource 10,175;134;96;34;44;105;31;118;28;174;113;1;26
Resource 11,155;102;111;160;79;50;5;191;183;3;151;59;42
Resource 12,15;186;119;190;141;104;69;61;14;165;97;188;25
Resource 13,184;121;149;33;125;114;57;20;60;154;153;43
Resource 14,48;157;55;82;152;192;120;83;107;163;129;139
