resource_name,assignment_ids
Resource 0,310;325;242;196;211;5;179;109;198;252;39;346;36;268;197;50;117;54;93;34;217;233;158
Resource 1,127;19;260;190;1;58;110;302;103;255;253;94;227;17;215;168;131;71;323;319;186;354;185
Resource 2,277;222;142;281;288;99;336;337;107;250;266;194;63;195;174;360;327;143;72;203;37;74;126
Resource 3,32;135;237;140;169;212;247;311;264;123;232;40;125;238;88;170;15;293;163;47;366;177;347
Resource 4,258;148;69;330;320;38;85;73;236;11;154;53;3;350;105;235;358;81;291;113;187;33;171
Resource 5,329;65;200;188;214;102;331;340;326;269;162;301;298;224;300;145;86;344;6;342;9;52;353
Resource 6,29;245;80;161;13;275;304;136;90;328;285;192;49;205;48;64;278;43;359;316;75;66;156
Resource 7,42;202;83;114;95;56;157;225;289;41;199;101;254;28;223;106;290;61;216;92;240;209;362
Resource 8,352;183;263;294;248;151;306;262;239;244;144;159;68;315;357;24;164;100;299;284;309;165;318
Resource 9,147;112;51;241;70;334;345;108;118;180;343;333;189;361;77;21;166;249;364;226;314;206;121
Resource 10,22;139;267;2;228;338;259;356;210;283;152;78;324;348;82;16;124;286;67;153;220;128;155
Resource 11,296;30;246;208;96;265;303;150;321;363;351;176;305;160;335;146;184;172;204;137;243;44;251
Resource 12,182;115;191;312;104;141;97;116;20;46;292;365;181;45;313;0;221;84;149;201;31;307;218
Resource 13,257;87;7;25;62;274;4;91;120;341;271;55;111;130;129;256;8;167;297;138;295;355;280
Resource 14,59;79;230;231;134;173;76;339;219;213;229;272;89;287;18;35;234;60;12;178;261;26;133
Resource 15,282;23;119;175;10;132;332;57;308;322;14;98;193;279;317;207;276;27;270;122;273;349
