resource_name,assignment_ids
Resource 0,91;111;79;131;148;9;145;154;68
Resource 1,129;125;4;158;1;3;44;63;88
Resource 2,160;138;65;50;27;127;146;18;71
Resource 3,147;135;70;136;14;38;7;128;61
Resource 4,133;17;170;39;31;92;132;134;99
Resource 5,11;84;140;165;29;151;45;80;6
Resource 6,101;100;83;32;0;41;16;107;114
Resource 7,77;56;12;149;143;139;42;105;58
Resource 8,15;49;10;54;85;36;8;96;19
Resource 9,30;74;87;98;75;142;102;76;161
Resource 10,166;81;110;167;48;113;90;169;168
Resource 11,51;62;47;23;43;95;155;46;72
Resource 12,78;52;153;40;117;2;112;33;57
Resource 13,116;21;130;159;66;94;53;156;93
Resource 14,164;118;59;5;37;26;152;126;69
Resource 15,150;120;115;82;121;123;109;67;97
Resource 16,162;25;13;124;34;86;108;103;106
Resource 17,28;144;119;104;20;60;137;64;22
Resource 18,55;163;157;141;122;35;89;73;24
