predecessor_id,successor_id,type
34,223,3
34,201,1
200,201,1
0,148,1
9,22,1
9,243,1
9,97,1
141,200,1
1,33,0
72,176,1
2,32,3
140,183,1
140,141,1
12,173,0
3,89,1
20,137,1
20,37,3
4,214,1
4,177,1
4,154,0
4,246,1
151,196,1
5,223,1
5,245,0
84,140,1
84,196,1
84,96,1
215,218,1
83,84,3
83,85,1
54,55,3
69,173,1
6,163,1
32,121,1
175,177,1
22,246,1
27,143,1
127,129,1
127,130,1
127,168,0
169,246,1
169,170,3
124,136,1
124,125,3
124,209,1
55,223,1
55,63,3
7,83,3
7,245,1
8,9,3
30,73,1
10,111,1
11,12,0
13,100,1
14,87,1
14,45,1
15,16,1
15,42,3
15,218,1
85,86,1
17,45,1
61,132,1
61,172,1
205,206,3
205,207,1
18,99,3
19,223,1
19,20,1
21,22,1
23,162,1
24,213,1
24,44,3
173,179,1
143,150,1
183,192,1
25,28,1
177,178,1
229,230,1
26,61,1
26,27,1
28,236,0
238,239,1
29,30,3
31,32,1
31,96,3
33,34,3
35,47,1
36,62,3
36,115,1
162,183,1
68,133,1
68,69,1
174,176,3
174,175,1
38,61,1
39,153,1
197,216,3
40,202,1
139,140,3
201,202,1
41,142,3
42,43,1
44,116,1
184,185,1
46,140,1
47,172,1
48,49,1
48,75,3
48,57,0
182,183,3
182,184,1
88,187,1
50,135,1
50,51,1
52,101,1
105,178,3
53,84,1
53,54,1
59,113,1
56,122,0
56,245,1
57,239,1
58,59,1
58,206,1
58,126,1
60,234,1
60,61,1
148,234,3
64,199,1
82,83,1
65,210,1
237,238,1
67,68,1
161,164,1
161,162,3
66,67,1
130,131,1
70,186,1
71,72,1
73,190,1
74,139,0
76,125,1
181,182,1
181,235,1
168,169,3
77,153,1
202,203,1
78,106,1
79,131,3
180,238,1
180,181,1
147,148,1
80,143,3
171,172,1
156,157,1
94,95,1
81,82,3
170,171,1
172,174,1
172,180,1
172,173,1
222,223,1
87,88,0
87,89,1
87,241,0
90,91,1
90,92,1
204,205,1
93,94,1
199,200,1
96,136,1
123,124,1
123,219,1
123,234,1
97,218,1
97,98,1
97,245,3
102,157,1
103,144,3
103,217,1
104,105,1
203,204,1
107,239,3
108,176,1
109,132,1
109,199,1
110,118,3
226,227,0
111,112,0
113,215,1
113,210,1
114,120,3
114,159,0
115,133,1
117,118,3
117,119,3
121,122,1
121,138,3
121,123,1
126,128,1
126,127,1
132,228,1
133,157,3
134,136,1
134,175,3
134,135,1
134,243,1
245,246,3
206,208,1
206,225,1
138,139,1
142,205,1
142,144,1
142,143,0
145,146,1
145,147,0
150,230,1
150,151,1
149,150,3
152,162,3
153,193,1
155,156,1
208,228,1
158,238,3
158,223,3
158,159,1
160,161,3
163,188,3
164,237,1
165,166,3
167,186,3
167,168,0
187,188,0
189,200,1
190,219,1
191,192,3
223,224,1
194,195,1
196,197,1
196,236,3
198,199,1
211,213,3
211,212,3
214,215,1
216,217,1
218,219,3
218,220,1
221,222,0
225,226,1
228,229,3
231,233,1
232,233,0
234,237,1
234,235,3
236,237,1
240,241,1
242,243,1
244,245,3
