resource_name,assignment_ids
Resource 0,206;171;95;163;168;65;68;102;71;199;155;132;149;60;136;197
Resource 1,186;53;151;189;73;182;173;42;10;175;16;204;174;113;159;57
Resource 2,212;100;52;18;84;98;129;211;127;166;200;82;63;213;131;4
Resource 3,51;1;5;185;154;27;62;50;143;12;89;79;15;161;37;90
Resource 4,118;11;31;124;43;181;34;216;122;201;13;207;96;217;164;220
Resource 5,108;29;36;14;194;192;83;219;35;218;21;46;133;112;202;103
Resource 6,80;215;24;137;195;26;190;66;193;48;85;38;167;169;7;61
Resource 7,152;19;107;94;125;78;3;111;139;140;145;156;188;77;158;30
Resource 8,101;191;177;141;196;67;54;184;2;208;210;106;74;183;135;93
Resource 9,144;47;70;40;105;86;126;119;170;178;134;148;121;120;153;49
Resource 10,142;222;165;99;55;44;58;209;81;138;115;69;128;17;147;176
Resource 11,8;64;221;162;75;6;92;76;39;203;109;150;104;160;97;87
Resource 12,179;32;9;23;0;56;116;41;123;45;172;25;33;72;114;187
Resource 13,214;180;59;117;28;110;88;22;146;157;130;20;205;198;91
