resource_name,assignment_ids
Resource 0,23;162;66;201;89;183;189;4;154;24;29;106;181;27;45;173;63;113;144;96;75
Resource 1,46;151;170;49;22;50;72;178;31;71;126;100;97;159;177;129;199;94;125;172;57
Resource 2,142;204;118;37;168;51;186;128;28;25;79;185;98;158;119;15;6;102;35;135;145
Resource 3,47;112;161;41;83;120;64;103;132;101;137;104;40;206;121;85;114;2;188;127;3
Resource 4,190;93;21;192;43;36;58;69;81;38;198;59;157;150;20;122;166;60;19;153;174
Resource 5,48;196;130;202;171;169;107;67;109;12;111;11;80;42;167;176;116;44;133;78;13
Resource 6,68;16;131;136;156;39;123;155;124;165;26;139;205;73;33;110;52;140;191;99;70
Resource 7,65;179;76;152;143;14;34;92;5;180;194;141;197;86;30;90;18;32;82;55
Resource 8,184;149;195;203;88;17;91;146;163;0;53;77;10;193;134;56;105;148;138;117
Resource 9,61;87;108;147;187;182;1;200;84;7;54;9;115;160;175;8;164;74;62;95
