resource_name,assignment_ids
Resource 0,83;47;425;430;104;301;468;429;329;435;119;205;337;271;453;126;39;243;325;311;399;200;439;356;397;204;292
Resource 1,339;308;81;163;113;346;395;261;103;92;227;181;373;403;221;454;53;173;102;402;445;263;355;15;340;6;222
Resource 2,63;426;312;366;56;299;129;236;286;46;242;455;44;268;264;43;84;18;285;307;185;333;224;109;140;247;68
Resource 3,54;79;412;58;446;26;253;3;52;282;358;88;147;239;316;97;400;462;82;259;345;257;90;417;457;98;473
Resource 4,294;231;377;394;7;460;431;300;413;447;281;407;168;442;41;23;66;240;369;276;335;157;159;274;94;306;270
Resource 5,33;406;295;72;182;288;34;349;443;348;106;344;423;9;5;36;145;211;136;472;135;100;318;371;427;254;370
Resource 6,24;208;196;273;198;207;280;186;172;62;434;67;1;411;141;59;291;223;353;277;155;69;424;169;244;416;148
Resource 7,233;152;469;323;128;76;70;139;209;260;303;352;361;252;150;332;30;65;470;326;89;390;154;77;149;32;61
Resource 8,111;107;372;120;408;384;80;376;258;420;359;374;212;131;11;25;220;241;388;310;272;162;42;114;275;405
Resource 9,414;368;319;391;176;363;386;380;266;40;73;438;234;210;123;193;396;328;393;389;117;60;8;179;64;190
Resource 10,327;375;441;75;381;463;202;436;130;437;37;110;322;96;456;342;48;392;382;14;28;12;452;421;398;287
Resource 11,237;164;183;174;192;255;214;330;216;50;444;298;105;57;218;31;387;127;440;290;321;143;108;95;206;471
Resource 12,22;245;351;35;246;309;78;124;132;433;219;125;165;115;314;38;85;4;201;101;230;171;175;474;21;284
Resource 13,45;99;293;317;379;194;49;467;305;238;118;278;215;350;17;112;320;55;313;74;362;283;187;409;432;51
Resource 14,199;331;2;191;133;180;217;71;418;87;20;347;158;195;459;475;137;448;315;410;146;122;419;225;29;178
Resource 15,461;10;170;251;357;338;265;458;365;422;116;166;161;226;138;451;450;134;86;256;449;385;354;249;177;189
Resource 16,121;232;383;13;464;336;197;235;160;156;262;0;324;364;153;269;360;401;404;296;378;297;267;167;428;188
Resource 17,184;91;203;302;279;213;19;334;248;367;343;27;228;142;250;144;16;465;151;341;289;415;229;93;304;466
