resource_name,assignment_ids
Resource 0,34;178;263;61;44;293;80;112;13;102;183;69;90;204;123;150;222;109;244;37;210;249
Resource 1,173;172;165;284;290;253;191;33;75;31;209;282;229;289;220;179;248;277;20;25;21;115
Resource 2,137;7;177;287;279;107;119;153;49;8;139;193;270;138;66;217;228;64;65;283;213;252
Resource 3,198;55;265;203;97;17;27;121;206;128;144;26;146;214;180;23;39;87;154;9;224
Resource 4,223;174;46;42;45;131;162;188;281;40;106;76;233;184;110;32;28;94;113;43;84
Resource 5,254;105;22;70;93;238;98;30;158;196;38;189;127;202;18;261;143;74;250;219;4
Resource 6,268;82;243;132;24;71;148;122;91;227;201;152;142;240;294;195;86;58;147;95;164
Resource 7,239;2;274;5;117;99;269;41;120;211;226;221;108;234;125;140;77;216;104;251;182
Resource 8,169;246;114;135;171;256;205;15;275;145;215;167;14;100;111;72;103;295;288;118;175
Resource 9,73;218;136;207;68;255;257;273;170;156;35;52;159;190;258;59;54;89;181;81;126
Resource 10,163;185;232;134;236;262;83;1;230;208;51;280;271;157;199;276;296;264;194;242;50
Resource 11,124;47;291;225;266;101;292;259;6;88;149;3;285;197;116;19;192;92;56;267;212
Resource 12,10;85;60;237;78;48;160;130;79;16;96;161;247;241;187;245;166;36;53;129;62
Resource 13,0;235;186;141;29;200;67;286;12;260;272;63;11;176;168;133;231;151;278;57;155
