resource_name,assignment_ids
Resource 0,19;111;92;380;242;39;126;192;106;373;357;314;137;184;345;331;238;322;149;188;191;262;107;395;193;15;45;79
Resource 1,160;398;139;73;336;91;169;64;50;271;112;117;125;135;87;319;248;119;223;76;245;97;198;340;136;185;343;240
Resource 2,408;323;32;269;85;307;86;77;196;410;24;93;100;17;406;258;288;315;41;239;227;141;74;228;352;374;259;63
Resource 3,101;347;83;42;148;384;332;276;213;60;246;226;297;104;172;103;132;324;225;281;270;8;62;108;264;325;208;53
Resource 4,247;368;205;342;257;170;47;116;28;339;159;273;310;95;82;387;127;383;278;201;194;14;344;255;312;292;229;272
Resource 5,371;222;407;317;362;404;367;293;329;16;90;405;195;318;279;48;150;338;94;179;157;37;178;34;403;311;59;369
Resource 6,44;89;3;327;232;348;346;409;341;88;131;72;36;394;102;334;69;375;390;30;251;277;176;305;237;171;372;143
Resource 7,254;363;190;243;283;313;224;401;366;70;10;165;114;249;221;215;20;355;189;66;244;402;0;335;123;309;210;177
Resource 8,12;391;321;155;110;130;266;156;124;49;333;25;236;241;56;302;109;376;31;261;26;365;29;275;78;212;162
Resource 9,219;290;330;96;54;370;304;204;316;396;230;7;158;4;349;296;350;75;282;5;285;289;164;209;385;120;57
Resource 10,161;280;51;142;163;35;298;351;113;379;52;80;206;263;256;181;217;145;187;308;260;27;151;399;231;218;21
Resource 11,207;33;253;274;353;356;129;299;328;235;386;98;303;252;168;43;122;175;174;183;388;166;359;199;400;295;186
Resource 12,153;23;268;300;147;267;294;216;291;358;121;354;11;382;326;99;9;68;203;61;71;220;180;1;55;167;389
Resource 13,211;378;46;18;152;234;284;173;84;105;202;233;40;337;197;115;286;118;393;58;144;67;13;146;381;128;2
Resource 14,154;81;320;6;287;134;301;200;397;250;133;65;140;377;214;361;265;306;38;22;138;182;364;392;360;412;411
