resource_name,assignment_ids
Resource 0,52;162;84;217;44;121;106;147;1;140;65;182;59;136;132
Resource 1,117;33;167;225;161;68;17;87;94;156;5;76;74;127;151
Resource 2,45;138;110;181;153;174;6;223;61;54;149;196;51;192;195
Resource 3,8;48;88;175;101;71;49;60;64;133;164;199;157;139;114
Resource 4,104;40;15;99;70;118;216;159;171;43;46;169;150;107
Resource 5,34;27;184;202;92;86;185;137;37;172;72;143;3;12
Resource 6,2;73;50;80;179;108;20;24;226;82;183;63;214;205
Resource 7,148;209;203;166;210;186;56;115;16;53;19;100;42;134
Resource 8,168;158;198;55;219;75;211;78;135;25;103;47;189;38
Resource 9,141;112;170;220;32;28;81;22;109;165;93;57;111;35
Resource 10,208;227;146;154;144;21;91;142;4;113;207;201;155;69
Resource 11,122;13;85;14;222;7;90;102;119;124;18;206;66;23
Resource 12,200;36;77;177;218;95;89;96;215;39;29;212;213;193
Resource 13,67;178;131;128;30;152;145;31;83;160;105;62;197;123
Resource 14,163;125;221;98;187;176;188;11;173;0;120;194;126;191
Resource 15,190;180;58;79;130;204;9;224;116;129;10;26;97;41
