resource_name,assignment_ids
Resource 0,414;120;40;411;143;296;300;56;401;84;177;102;130;183;373;26;404;65;203;306;336;251;211;5;354;375;199;15;118;238;69
Resource 1,278;33;4;144;187;123;334;148;291;20;389;337;36;395;269;363;87;371;111;297;9;220;330;11;365;125;97;142;235;231
Resource 2,286;133;213;30;137;358;233;224;394;416;349;399;70;145;219;340;184;254;62;116;31;384;217;201;162;93;193;179;247;165
Resource 3,320;75;417;59;232;57;317;285;58;256;253;206;261;302;156;83;415;379;335;311;303;359;221;252;27;246;396;185;174;374
Resource 4,382;154;2;132;215;378;171;237;7;360;344;228;152;17;368;281;189;114;188;307;212;408;405;72;66;230;259;136;160;190
Resource 5,158;170;274;98;209;37;388;234;163;326;149;51;167;312;50;409;86;236;255;305;32;292;21;155;197;341;351;322;362;210
Resource 6,3;88;191;270;348;343;240;109;225;81;192;367;380;105;308;135;74;42;96;272;159;419;134;122;276;267;128;352;327;275
Resource 7,264;172;214;63;78;54;48;418;147;24;204;350;119;332;331;161;345;10;196;387;60;243;103;323;245;249;310;121;353;370
Resource 8,369;94;366;319;413;38;16;293;282;101;12;181;117;205;298;43;29;39;46;242;99;239;25;129;124;314;138;112;202;325
Resource 9,14;153;263;216;151;67;397;355;47;377;248;110;182;1;403;244;346;392;53;321;301;80;342;131;115;44;79;309;92;107
Resource 10,410;372;289;76;266;279;34;329;126;207;45;22;273;195;6;280;313;361;295;194;23;13;90;73;402;376;226;64;288;271
Resource 11,391;420;77;127;208;85;339;140;113;49;68;186;164;169;41;333;383;0;316;265;257;200;222;180;146;218;223;198;178;356
Resource 12,168;55;71;407;104;364;139;106;393;385;166;258;299;28;227;284;412;268;229;173;141;386;328;260;35;108;150;294;19;89
Resource 13,406;390;8;347;82;262;290;100;324;315;175;95;61;283;287;357;398;400;157;304;241;52;91;176;318;338;277;250;18;381
