resource_name,assignment_ids
Resource 0,108;56;28;52;51;37;82
Resource 1,78;114;8;60;71;18
Resource 2,43;14;96;100;93;79
Resource 3,40;35;2;4;3;111
Resource 4,45;72;53;33;63;65
Resource 5,106;62;81;90;80;34
Resource 6,75;6;76;25;15;10
Resource 7,98;31;36;19;20;57
Resource 8,1;7;68;112;102;86
Resource 9,83;0;12;94;110;69
Resource 10,5;44;49;38;73;70
Resource 11,97;16;30;67;47;105
Resource 12,21;87;88;66;23;61
Resource 13,27;84;77;26;50;89
Resource 14,85;46;29;101;41;42
Resource 15,54;91;92;17;103;59
Resource 16,99;22;95;109;74;39
Resource 17,24;11;104;55;9;113
Resource 18,58;64;107;13;48;32
