resource_name,assignment_ids
Resource 0,50;257;253;39;244;145;144;168;21;14;193;116;68;87;182;231;234
Resource 1,191;152;248;247;127;241;183;254;164;141;114;90;48;206;27;173;194
Resource 2,53;73;28;16;205;78;216;224;9;167;212;65;159;151;124;32;203
Resource 3,240;175;202;250;54;236;30;110;62;196;148;160;106;43;25;134;129
Resource 4,147;135;181;107;190;210;156;13;18;217;263;98;45;2;35;259;155
Resource 5,126;228;102;93;207;108;201;258;158;130;85;61;89;237;6;246;86
Resource 6,51;60;172;225;256;42;0;187;117;55;136;77;118;3;227;154;186
Resource 7,23;8;71;81;31;213;56;69;113;200;188;177;67;12;233;142;184
Resource 8,251;239;133;122;143;209;197;76;95;218;232;20;105;243;137;153
Resource 9,82;220;66;58;146;162;57;198;192;41;245;123;84;119;219;255
Resource 10,101;52;150;214;204;138;97;75;169;46;230;170;94;189;221;128
Resource 11,10;29;26;49;96;157;223;40;79;33;178;261;174;36;195;92
Resource 12,83;5;64;229;22;109;161;222;199;140;59;208;120;163;100;24
Resource 13,17;215;19;1;180;249;166;11;34;226;176;242;103;99;165;72
Resource 14,104;44;88;179;131;149;260;7;80;171;63;238;235;37;111;252
Resource 15,47;125;74;112;211;185;70;115;4;262;91;38;15;121;132;139
