resource_name,assignment_ids
Resource 0,117;55;114;45;122;95;69;105;49
Resource 1,111;33;5;76;39;101;93;133;31
Resource 2,129;131;94;74;54;29;89;34;120
Resource 3,90;68;2;43;96;46;123;25;75
Resource 4,81;41;35;17;125;83;115;24;119
Resource 5,108;13;71;12;7;99;104;106
Resource 6,65;38;121;78;102;67;128;82
Resource 7,72;132;80;0;21;18;23;79
Resource 8,58;50;91;137;63;77;37;92
Resource 9,3;56;36;113;32;62;30;107
Resource 10,11;42;19;59;85;103;124;53
Resource 11,44;100;52;140;112;127;98;28
Resource 12,6;126;64;20;8;116;1;70
Resource 13,118;97;86;66;110;47;139;14
Resource 14,15;48;26;87;22;136;16;84
Resource 15,60;135;4;134;73;40;138;88
Resource 16,61;9;109;27;10;57;130;51
