resource_name,assignment_ids
Resource 0,232;285;143;41;191;132;248;157;60;126;144;308;146;264;335;37;237;277;337;175;187
Resource 1,64;263;309;241;271;96;67;339;212;109;8;79;5;222;318;77;250;270;92;274;141
Resource 2,230;173;184;209;0;278;45;98;124;268;210;54;180;208;70;128;153;19;13;229;163
Resource 3,75;190;295;140;43;115;166;59;61;251;312;223;189;151;306;23;204;74;272;298;94
Resource 4,47;15;243;324;291;107;355;288;314;86;214;164;256;317;344;346;202;16;329;18;325
Resource 5,145;188;122;269;159;349;71;155;114;33;215;100;356;113;354;207;95;129;333;136;225
Resource 6,238;57;85;121;183;4;198;24;154;179;307;158;196;112;137;65;84;316;236;117;93
Resource 7,205;42;20;294;103;276;46;302;286;31;293;66;156;9;135;83;315;351;296;185;97
Resource 8,40;89;174;200;87;353;260;11;101;290;252;341;282;78;279;36;106;331;327;161;267
Resource 9,63;235;226;201;289;273;311;134;247;142;21;186;69;181;76;17;350;165;108;244;326
Resource 10,168;3;120;90;111;348;116;211;1;284;22;203;162;28;150;265;138;321;130;262;224
Resource 11,148;172;332;206;239;12;27;330;216;352;177;281;218;323;170;62;169;80;35;261;56
Resource 12,123;258;301;104;259;299;240;102;213;88;73;347;10;192;304;125;38;233;334;340;255
Resource 13,167;32;303;254;51;25;176;147;29;292;105;194;231;6;219;53;152;182;81;127;39
Resource 14,234;149;52;55;193;338;30;199;133;110;171;313;2;119;221;72;253;217;300;246;227
Resource 15,328;336;7;280;68;14;195;257;49;305;48;320;44;287;283;82;178;342;343;249;50
Resource 16,58;26;322;220;245;139;131;197;242;91;34;99;297;118;345;319;275;310;266;160;228
