resource_name,assignment_ids
Resource 0,48;320;78;54;190;135;122;91;153;330;56;62;302;165;331;164;282;221
Resource 1,160;186;119;223;139;212;332;118;195;277;214;267;211;280;8;269;176;85
Resource 2,4;141;21;130;309;162;113;299;149;272;82;145;25;289;178;245;134;175
Resource 3,150;75;7;334;251;17;236;281;60;57;307;144;210;47;293;222;59;275
Resource 4,318;225;257;109;188;107;297;51;237;326;204;58;159;250;180;83;37;152
Resource 5,228;22;291;283;30;137;226;298;86;183;215;74;15;161;193;129;32;105
Resource 6,170;258;23;233;304;120;182;324;167;158;28;312;9;64;112;10;201;279
Resource 7,126;234;89;35;197;111;189;321;49;268;87;256;218;185;6;143;71;227
Resource 8,76;136;249;104;0;133;323;94;2;55;100;115;266;238;102;117;290;276
Resource 9,232;261;322;315;179;255;308;77;29;229;246;124;18;73;224;273;80;200
Resource 10,63;230;196;155;333;110;313;26;217;316;46;199;156;303;264;39;242;67
Resource 11,42;263;301;278;235;240;103;101;40;174;128;20;69;305;45;187;292;93
Resource 12,319;296;311;11;306;329;248;205;151;16;96;24;108;123;12;241;44;209
Resource 13,52;146;131;184;125;140;114;148;157;317;169;92;19;202;14;38;41
Resource 14,244;98;88;84;79;31;192;335;259;3;116;147;181;216;61;271;33
Resource 15,13;72;286;203;213;220;132;253;310;70;127;172;121;260;34;95;66
Resource 16,287;65;168;50;262;194;231;285;5;166;294;208;265;99;270;284;325
Resource 17,81;97;171;300;328;239;106;314;163;173;274;177;198;288;252;43;327
Resource 18,206;243;138;27;68;90;295;191;207;53;254;142;219;154;1;36;247
