resource_name,assignment_ids
Resource 0,19;100;141;98;103;114;183;58;275;29;148;149;24;17;43;88;72;222;130;6;256
Resource 1,51;31;261;49;5;241;268;13;255;245;281;132;213;266;9;249;18;246;169;198;191
Resource 2,60;248;277;216;236;85;66;287;196;41;55;217;250;288;73;34;57;280;153;182;0
Resource 3,127;162;115;143;81;27;265;112;65;165;225;157;83;289;259;219;258;240;264;104;12
Resource 4,206;192;138;117;214;54;226;142;211;39;247;161;253;285;180;145;194;237;126;125;56
Resource 5,204;175;150;47;215;91;86;173;232;223;25;7;134;75;16;139;276;106;102;93;233
Resource 6,113;151;1;166;271;279;116;197;205;45;195;262;181;252;101;71;270;48;243;123;171
Resource 7,8;92;2;210;133;203;38;283;94;28;242;235;239;80;260;272;61;135;40;179;154
Resource 8,69;111;3;108;178;144;221;212;160;163;21;35;229;121;273;109;290;42;158;293;208
Resource 9,284;184;89;122;119;15;187;193;95;176;224;156;77;164;23;52;96;137;11;68;228
Resource 10,87;188;110;22;231;218;128;227;79;172;76;50;74;263;238;26;147;186;168;292;37
Resource 11,207;174;152;124;20;97;230;199;189;33;14;170;201;234;30;36;70;10;282;118;59
Resource 12,202;177;209;267;269;278;82;244;254;105;140;67;136;46;62;159;190;185;286;63;257
Resource 13,84;4;32;90;44;78;131;107;53;99;146;200;64;274;220;129;167;251;120;291;155
