resource_name,assignment_ids
Resource 0,130;148;112;169;77;186;151;51;49;214;31;205;59;104;153;85;250;135;0;64;126;258
Resource 1,180;217;231;237;261;67;35;218;74;189;47;159;6;56;68;71;253;272;13;37;269;134
Resource 2,264;17;216;200;260;177;86;277;80;3;193;84;210;138;91;226;160;163;234;79;140;1
Resource 3,179;111;275;96;75;161;182;183;53;244;278;63;273;105;247;152;224;27;284;199;191
Resource 4,58;190;18;181;11;149;251;158;176;66;60;221;50;24;28;286;276;245;122;30;90
Resource 5,195;69;125;118;33;236;109;65;170;139;123;157;7;73;48;113;54;12;9;220;36
Resource 6,167;197;232;38;279;108;223;246;62;229;133;22;95;248;20;196;19;292;172;287;21
Resource 7,265;282;166;198;82;32;45;187;235;72;290;43;107;283;116;114;201;106;34;121;162
Resource 8,78;100;206;178;57;136;240;212;233;145;10;262;70;40;296;175;93;295;243;252;225
Resource 9,129;208;280;117;293;103;92;239;55;131;255;5;266;213;98;188;263;42;97;270;173
Resource 10,228;76;39;128;94;256;259;44;271;194;14;99;215;192;15;146;204;185;2;154;168
Resource 11,203;142;230;4;119;257;87;156;83;137;207;127;81;291;143;289;124;238;202;171;101
Resource 12,88;165;144;242;209;110;89;8;164;150;288;120;274;102;61;294;155;268;29;23;241
Resource 13,254;16;147;227;52;115;222;25;26;249;141;285;41;267;174;46;219;132;281;184;211
