id,hours,start,duration
0,73,0,7
1,70,0,7
2,368,7,36
3,75,0,7
4,87,0,8
5,72,0,7
6,51,0,5
7,177,0,17
8,108,0,10
9,231,0,23
10,315,0,31
11,145,0,14
12,79,0,7
13,94,0,9
14,513,0,51
15,242,0,24
16,50,0,5
17,66,0,6
18,139,0,13
19,464,13,46
20,120,14,12
21,152,0,15
22,210,0,21
23,135,21,13
24,50,8,5
25,372,13,37
26,50,5,5
27,278,0,27
28,50,0,5
29,189,0,18
30,288,0,28
31,210,0,21
32,78,0,7
33,73,7,7
34,82,0,8
35,68,0,6
36,125,0,12
37,79,0,7
38,301,7,30
39,138,0,13
40,75,13,7
41,51,15,5
42,234,15,23
43,70,0,7
44,50,7,5
45,324,7,32
46,585,0,58
47,52,0,5
48,795,37,79
49,58,116,5
50,160,12,16
51,50,0,5
52,54,0,5
53,51,6,5
54,242,0,24
55,252,0,25
56,50,0,5
57,169,0,16
58,79,16,7
59,127,28,12
60,70,28,7
61,137,0,13
62,158,13,15
63,266,13,26
64,231,39,23
65,145,62,14
66,477,13,47
67,96,60,9
68,56,116,5
69,139,121,13
70,56,134,5
71,51,62,5
72,268,67,26
73,54,67,5
74,103,93,10
75,60,67,6
76,123,93,12
77,54,93,5
78,251,98,25
79,60,13,6
80,51,134,5
81,203,26,20
82,106,19,10
83,270,29,27
84,178,29,17
85,61,29,6
86,212,35,21
87,147,105,14
88,64,29,6
89,56,51,5
90,50,67,5
91,50,134,5
92,88,105,8
93,834,113,83
94,286,7,28
95,156,7,15
96,249,31,24
97,50,0,5
98,76,14,7
99,207,0,20
