predecessor_id,successor_id,type
73,90,3
0,95,1
0,2,1
1,3,0
2,69,1
3,58,1
3,67,3
3,71,3
64,65,1
64,71,1
4,24,1
5,85,1
6,33,1
7,29,3
86,87,3
8,26,0
9,91,1
10,96,1
10,74,1
44,45,3
11,20,1
12,94,3
12,90,3
12,98,1
13,19,3
14,89,1
15,71,3
16,58,1
17,53,1
17,40,0
17,82,1
18,19,1
23,67,3
84,89,1
70,80,0
20,81,1
20,74,0
67,68,1
21,42,1
22,23,1
68,69,1
24,93,3
24,25,1
80,91,3
26,60,1
26,27,0
69,70,1
28,84,1
28,64,1
29,99,3
30,73,1
30,59,1
31,98,0
32,33,1
34,66,3
35,80,0
66,67,1
76,80,1
76,87,1
76,92,1
36,50,1
36,63,3
40,41,0
37,38,1
71,72,1
38,94,3
38,48,1
39,83,1
39,40,1
45,86,0
43,67,1
43,44,1
46,76,3
85,86,1
48,68,1
48,49,1
63,66,3
63,64,1
47,48,1
77,78,1
72,73,3
72,75,3
72,77,1
72,74,1
72,76,1
82,84,1
82,85,1
82,88,1
82,83,1
82,90,1
51,90,1
52,64,1
59,60,3
54,59,1
54,92,1
79,80,1
79,81,3
79,82,1
55,93,3
56,87,1
57,58,1
57,59,3
61,62,1
61,63,1
61,79,1
92,93,1
94,95,3
97,98,1
